name,phe,keyword
Zitrone,31,citrus
Zitrone roh,25,organic-food
Zitrone Konzentrat,214,organic-food
Zitrone Fruchtsaft,29,organic-food
Zitrone Fruchtnektar,10,organic-food
Limette,22,organic-food
Limette roh,22,lime
Limette Konzentrat,148,lime
Limette Fruchtsaft,17,organic-food
Limette Fruchtnektar,6,organic-food
Orange / Apfelsine,27,apfel
Orange roh,20,organic-food
Orange Konzentrat,64,organic-food
Orange Fruchtsaft,8,organic-food
Orange Fruchtnektar,9,organic-food
Orange Konfitüre,9,kirsche
Grapefruit,15,organic-food
Grapefruit roh,10,organic-food
Grapefruit Konzentrat,92,organic-food
Grapefruit Fruchtsaft,14,organic-food
Grapefruit Fruchtnektar,7,organic-food
Grapefruit Konfitüre,6,organic-food
Pampelmuse,30,kirsche
Pampelmuse roh,30,kirsche
Pampelmuse Konzentrat,186,organic-food
Pampelmuse Fruchtsaft,28,organic-food
Pampelmuse Fruchtnektar,14,organic-food
Mandarine,30,kirsche
Mandarine roh,25,kirsche
Mandarine Konzentrat,169,organic-food
Mandarine Fruchtsaft,39,organic-food
Mandarine Fruchtnektar,20,kirsche
Mandarine Konfitüre,11,kirsche
Clementine,28,kirsche
Clementine roh,28,organic-food
Clementine Konzentrat,172,organic-food
Clementine Fruchtsaft,26,organic-food
Clementine Fruchtnektar,13,organic-food
Clementine Konfitüre,10,kirsche
Satsuma,30,kirsche
Satsuma roh,30,kirsche
Satsuma Konzentrat,180,kirsche
Satsuma Fruchtsaft,28,organic-food
Satsuma Fruchtnektar,14,organic-food
Satsuma Konfitüre,11,kirsche
Tangerine,32,kirsche
Tangerine roh,32,kirsche
Tangerine Konzentrat,198,organic-food
Tangerine Fruchtsaft,30,organic-food
Tangerine Fruchtnektar,15,organic-food
Tangerine Konfitüre,12,kirsche
Kumquat,26,kirsche
Kumquat roh,26,kirsche
Kumquat Konzentrat,111,organic-food
Kumquat Fruchtsaft,25,organic-food
Kumquat Fruchtnektar,13,kawaii-ice-cream
Kumquat Konfitüre,10,jam
Orange Pulpe,27,organic-food
Diabetikererzeugnisse,5,organic-food
Konserve Kompott/Mus für Diabetiker,5,organic-food
Fruchtschnitten,218,organic-food
Fruchtcreme,218,dessert
Rosinen,47,raisins
Sultaninen,87,organic-food
Zibeben,87,kirsche
Rote Grütze Konserve,25,kirsche
Rote Grütze Konserve energiereduziert,28,kirsche
Grüne Grütze Konserve,18,kirsche
Grüne Grütze Konserve energiereduziert,20,kirsche
Apfelmus Konserve,8,organic-food
Apfelmus Konserve energiereduziert,10,organic-food
Blaubeerkompott Konserve energiereduziert,22,organic-food
Preiselbeerkompott Konserve,42,kirsche
Preiselbeerkompott Konserve energiereduziert,12,organic-food
Aprikosenkompott Konserve,23,organic-food
Aprikosenkompott Konserve energiereduziert,28,organic-food
Pfirsichkompott Konserve,18,kirsche
Pfirsichkompott Konserve energiereduziert,19,organic-food
Cashewmus pur,794,organic-food
Himbeersoße Konserve,324,sauce-bottle
Gemüse,30,organic-food
Gemüse roh,30,organic-food
Algen roh,233,organic-food
Braunalge roh,78,organic-food
Braunalge Pulver,600,organic-food
Rotalge roh,284,kirsche
Rotalge Pulver,2258,organic-food
Spirulina roh,233,organic-food
Spirulina Pulver,2381,proteine
Kapern roh,130,kirsche
Pfefferminze frisch,150,organic-food
Küchenkräuter,263,organic-food
Küchenkräuter I frisch (Kräutermischung für Salate),193,organic-food
Basilikum frisch,122,organic-food
Beifuß,138,organic-food
Beifuß frisch,138,organic-food
Bohnenkraut,44,organic-food
Borretsch,71,organic-food
Borretsch frisch,71,kirsche
Borretsch Pulver,600,organic-food
Dill,146,organic-food
Dill frisch,146,organic-food
Dill Pulver,721,organic-food
Estragon,134,organic-food
Estragon frisch,134,kirsche
Fenchelsamen frisch,658,organic-food
Fenchelsamen Pulver,720,organic-food
Kerbel,233,kirsche
Kerbel frisch,233,organic-food
Kerbel Pulver,1246,kawaii-egg
Küchenkräuter II frisch (Kräutermischung für Fisch/Wild),214,organic-food
Liebstöckel,138,organic-food
Liebstöckel frisch,138,organic-food
Lorbeer,48,kirsche
Majoran,81,organic-food
Majoran frisch,81,organic-food
Oregano,87,organic-food
Oregano frisch,87,organic-food
Pimpinelle,138,kirsche
Pimpinelle frisch,138,salat
Rosmarin,32,organic-food
Rosmarin frisch,32,organic-food
Salbei,68,organic-food
Salbei frisch,68,organic-food
Küchenkräuter III frisch (Kräutermischung für Fleisch),180,organic-food
Schnittlauch,126,lauch
Schnittlauch frisch,126,organic-food
Schnittlauch Pulver,887,ingredients-for-cooking
Thymian,58,organic-food
Thymian frisch,58,thyme
Wacholder,138,kirsche
Wacholder frisch,138,kirsche
Weinraute frisch,138,organic-food
Zitronenmelisse frisch,138,organic-food
Zitronenmelisse Pulver,1000,organic-food
Sellerieblätter,43,organic-food
Sellerieblätter frisch,43,organic-food
Sellerieblätter Pulver,478,sellerie
Kräuter der Provence frisch,110,kawaii-french-fries
Kräutermischung,177,organic-food
Kräutermischung frisch,177,kirsche
Frankfurter Grüne Soße Kräutermischung,126,sauce-bottle
Gemüsemischung roh,132,organic-food
Gemüsemischung Saft,117,organic-food
Gemüsemischung Trunk,111,organic-food
Suppengrün roh,53,organic-food
Suppengrün Pulver,522,organic-food
Salatgemüse,58,organic-food
Salatgemüse roh,58,organic-food
Chicoree,68,kirsche
Chicoree roh,65,kirsche
Endivien (Escariol),94,kirsche
Endivien roh,94,kirsche
Eisbergsalat,54,organic-food
Eisbergsalat roh,54,salat
Feldsalat (Rapunzel),99,salat
Feldsalat roh,96,salat
Kopfsalat,58,organic-food
Kopfsalat roh,54,organic-food
Radicchio,64,organic-food
Radicchio roh,64,organic-food
Romanosalat,86,organic-food
Romanosalat roh,86,organic-food
Schnittsalat (Blatt-/ Pflücksalat),70,salat
Schnittsalat roh,70,organic-food
Zuckerhutsalat,64,sugar
Zuckerhutsalat roh,64,sugar
Lollo Rosso roh,70,kirsche
Rucola roh,119,organic-food
Blattgemüse,127,organic-food
Blattgemüse roh,127,organic-food
Spinat roh,127,spinach
Spinat Trunk,44,spinach
Blattspinat roh,110,spinach
Blattspinat Trunk,44,spinach
Spinat chinesisch roh,194,spinach
Spinat chinesisch Trunk,66,spinach
Spinat neuseeländisch roh,83,spinach
Spinat neuseeländisch Trunk,28,spinach
Bleichsellerie roh,69,organic-food
Bleichsellerie Trunk,23,organic-food
Sellerie roh,69,organic-food
Mangold,86,kirsche
Mangold roh,70,kirsche
Mangold Trunk,30,kirsche
Melde roh,159,kirsche
Melde Pulver,1869,organic-food
Melde Trunk,63,bayerische-brezel
Petersilienblatt,263,ingredients-for-cooking
Petersilienblatt frisch,243,organic-food
Petersilienblatt Pulver,1406,ingredients-for-cooking
Wildgemüse,393,organic-food
Brennnessel,393,organic-food
Brennnessel roh,285,organic-food
Brennnessel Pulver,2561,organic-food
Brennnessel Trunk,135,organic-food
Löwenzahn,161,organic-food
Löwenzahn roh,139,organic-food
Löwenzahn Pulver,1416,organic-food
Löwenzahn Trunk,56,organic-food
Sauerampfer,192,kirsche
Sauerampfer roh,192,organic-food
Sauerampfer Pulver,2386,sauce-bottle
Sauerampfer Trunk,65,kirsche
Brunnenkresse,73,kirsche
Brunnenkresse frisch,58,organic-food
Brunnenkresse Pulver,1045,kirsche
Brunnenkresse Trunk,25,organic-food
Kresse (Gartenkresse),226,organic-food
Kresse frisch,226,organic-food
Kresse Pulver,1685,organic-food
Kresse Trunk,78,organic-food
Rübenblatt roh,117,beet
Rübenblatt Trunk,41,kirsche
Weinblätter roh,327,organic-food
Weinblätter Konserve in Öl,327,organic-food
Kohlgemüse,31,organic-food
Kohlgemüse roh,31,kohlrabi
Blütenkohl roh,84,kohlrabi
Blumenkohl roh,77,vegetarisches-essen
Blumenkohl frittiert (zubereitet ohne Fett),85,fry
Blumenkohl Trunk,29,kawaii-french-fries
Broccoli roh,120,broccoli
Broccoli Trunk,49,broccoli
Blattkohl roh,45,kirsche
Chinakohl roh,47,kohlrabi
Chinakohl Trunk,15,kirsche
Grünkohl roh,140,kirsche
Grünkohl Trunk,55,kirsche
Pakchoy roh,45,organic-food
Sprossenkohl roh,145,kohlrabi
Kohlrabi roh,45,kohlrabi
Kohlrabi Trunk,16,kohlrabi
Rosenkohl roh,150,kirsche
Rosenkohl Trunk,50,kirsche
Kopfkohl,33,organic-food
Rotkohl roh,32,kirsche
Rotkohl Trunk,11,kirsche
Weißkohl roh,30,organic-food
Weißkohl Trunk,10,organic-food
Wirsingkohl roh,120,kirsche
Wirsingkohl Trunk,41,kirsche
Spitzkohl,64,kirsche
Spitzkohl roh,64,kirsche
Spitzkohl Trunk,22,kirsche
Sauerkraut Saft,41,organic-food
Sauerkraut Trunk,16,organic-food
Weinsauerkraut,47,organic-food
Weinsauerkraut roh,47,organic-food
Fertiggerichte energiereduziert,84,organic-food
Elsässer Sauerkraut energiereduziert,40,organic-food
Romanesco (Minarettkohl) roh,84,kirsche
Artischocken roh,95,organic-food
Artischockenboden,95,organic-food
Artischockenboden roh,95,organic-food
Stielmus (Rübstiel) roh,79,organic-food
Fenchel,55,kirsche
Fenchel Knolle roh,55,organic-food
Fenchel Blatt (Bologneser Fenchel) roh,96,organic-food
Palmenherz roh,99,kirsche
Spargel roh,60,organic-food
Spargel weiß,62,spargel
Spargel weiß roh,62,spargel
Portulak roh,83,kirsche
Portulak Trunk,28,kirsche
Porree roh,63,lebkuchenhaus
Zwiebeln,40,onion
Zwiebeln roh,35,onion
Zwiebeln frittiert (zubereitet ohne Fett),40,onion
Zwiebeln Konzentrat,287,onion
Zwiebeln Pulver,468,onion
Zwiebeln Trunk,14,onion
Winterzwiebel roh,50,onion
Winterzwiebel Pulver,507,onion
Winterzwiebel Trunk,17,onion
Gemüsezwiebel roh,40,onion
Perlzwiebel,58,onion
Perlzwiebel roh,58,onion
Perlzwiebel Pulver,280,onion
Perlzwiebel Trunk,20,onion
Schalotte,58,onion
Schalotte roh,58,onion
Schalotte Pulver,767,onion
Lauchzwiebel roh,34,onion
Silberzwiebel roh,40,onion
Knoblauch,241,garlic
Knoblauch roh,241,garlic
Knoblauch Pulver,635,granulated-garlic
Bärlauch roh,34,organic-food
Fruchtgemüse,15,organic-food
Fruchtgemüse roh,15,organic-food
Aubergine roh,54,vegetarisches-essen
Aubergine frittiert (zubereitet ohne Fett),59,fry
Gurke,15,organic-food
Gurke roh,14,organic-food
Gurke Trunk,5,gurke
Okra roh,100,kirsche
Paprikaschoten roh,53,organic-food
Paprikaschoten Pulver,742,organic-food
Gemüsepaprika grün,53,organic-food
Gemüsepaprika grün roh,53,organic-food
Gemüsepaprika grün frittiert (zubereitet ohne Fett),54,organic-food
Gemüsepaprika rot,63,organic-food
Gemüsepaprika rot roh,63,organic-food
Gemüsepaprika rot blanchiert,66,organic-food
Pfefferschoten roh,78,organic-food
Pfefferschoten Pulver,578,organic-food
Pfefferschote süß roh,78,kirsche
Pfefferschote grün,63,organic-food
Pfefferschote grün roh,63,kirsche
Pfefferschote grün Pulver,468,organic-food
Pfefferschote rot roh,87,kirsche
Tomaten,30,organic-food
Tomaten roh,30,organic-food
Tomaten Konzentrat,307,organic-food
Tomaten Trunk,11,organic-food
Tomate rot,30,organic-food
Tomate rot roh,24,organic-food
Tomate rot blanchiert,35,organic-food
Tomate rot Trunk,11,organic-food
Tomate grün roh,35,green-tea
Fleischtomate roh,30,beef
Zuckermais roh,200,sugar
Kürbisse,34,organic-food
Kürbisse roh,34,organic-food
Kürbis (Squash winter),43,organic-food
Kürbis roh,29,organic-food
Kürbis Trunk,12,organic-food
Zucchini roh,83,zucchini
Zucchini frittiert (zubereitet ohne Fett),84,fry
Chayote roh,44,kirsche
Chayote Pulver,539,kawaii-egg
Chayote Trunk,15,kuerbis
Kalebasse (Flaschenkürbis) roh,17,kuerbis
Kürbis (Pumkin) roh,45,organic-food
Wachsflaschenkürbis roh,17,kuerbis
Gartenkürbis roh,20,kuerbis
Rüben roh,32,kirsche
Rüben Konzentrat,175,beet
Kohlrübe roh,42,kohlrabi
Teltower Rübchen roh,30,kirsche
Rote Rübe roh,26,beet
Rote Rübe Konzentrat,131,beet
Rote Rübe Trunk,10,beet
Weiße Rübe roh,18,kirsche
"Karotte (Mohrrübe, Möhre) roh",31,organic-food
"Karotte (Mohrrübe, Möhre) Trunk",10,organic-food
Meerrettich,68,kirsche
Meerrettich roh,45,kirsche
Meerrettich Paste,68,kirsche
Pastinake roh,45,kirsche
Pastinake Trunk,20,kirsche
Schwarzwurzel roh,55,kirsche
Knollensellerie roh,47,organic-food
Knollensellerie Trunk,21,organic-food
Wurzelpetersilie roh,68,kirsche
Wurzelpetersilie Pulver,491,kawaii-egg
Rettich,47,kirsche
Rettich roh,47,kirsche
Rettich Pulver,824,organic-food
Rettich Trunk,16,kirsche
Rettich weiß roh,47,kirsche
Rettich rot roh,47,kirsche
Rettich schwarz roh,47,kirsche
Radieschen Oberbegriff,46,organic-food
Radieschen Oberbegriff roh,46,organic-food
Radieschen roh,46,organic-food
Radieschen Weiße Eiszapfen roh,48,organic-food
Wasabi roh,207,organic-food
Hülsenfruchtgemüse (unreif),81,organic-food
Hülsenfruchtgemüse roh,81,organic-food
Helmbohnen indisch roh,49,kirsche
Bohnen grün roh,73,organic-food
Buschbohnen grün roh,81,organic-food
Stangenbohnen grün,81,organic-food
Stangenbohnen grün roh,81,organic-food
Wachsbohnen roh,105,organic-food
Bohnen dick (Acker-/Puff-/Saubohnen),327,organic-food
Bohnen dick roh,327,organic-food
Prunkbohnen,327,kirsche
Prunkbohnen roh,327,organic-food
Sojabohnen,564,organic-food
Sojabohnen roh,564,organic-food
Sojabohnen Pulver,1702,soy-sauce
Erbsen grün roh,400,organic-food
Erbsen grün Pulver,1367,organic-food
Zuckererbsen,152,organic-food
Zuckererbsen roh,152,organic-food
Markerbsen roh,353,organic-food
Schalerbsen roh,353,bayerische-brezel
Kichererbsen,375,organic-food
Kichererbsen roh,375,organic-food
Limabohne roh,179,organic-food
Chinabohnen,355,dim-sum
Chinabohnen roh,355,kirsche
Chinabohne roh,355,organic-food
Strauchbohnen roh,680,organic-food
Strauchbohnen Pulver,2574,kawaii-french-fries
Kohlgemüsesuppen Trockenprodukt,434,organic-food
Blumenkohlsuppe Trockenprodukt,434,organic-food
Gurke milchsauer,9,organic-food
Gurke süß-sauer milchsauer,9,kirsche
Salz-Dill-Gurke milchsauer,10,salt
Bohnen milchsauer,43,organic-food
Mixed Pickles,54,kirsche
Gemüsemischung in Tomatensoße Konserve,101,organic-food
Meerrettich Dressing Konserve,125,organic-food
Kräutersoße Konserve,154,sauce-bottle
Erbswurst,516,organic-food
Helle Soße Konserve,34,sauce-bottle
Braten Soße Konserve,142,sauce-bottle
Tomatensoße Konserve,58,sauce-bottle
Knoblauchsoße Konserve,120,sauce-bottle
Petersiliensoße Konserve,91,sauce-bottle
Pfeffersoße Konserve,101,sauce-bottle
Chili Soße Konserve,86,sauce-bottle
Zwiebelsoße Konserve,39,sauce-bottle
Paprikasoße Konserve,153,sauce-bottle
Zwiebelsuppe Konserve,36,organic-food
Gemüsesuppe Konserve,247,organic-food
Erbsensuppe Konserve,132,soup-plate
Gemüsecremesuppe Konserve,42,organic-food
Lauchcremesuppe Konserve,218,organic-food
Spargelcremesuppe Konserve,222,organic-food
Tomatencremesuppe Konserve,28,soup-plate
Französische Zwiebelsuppe Konserve,103,organic-food
Tomatensuppe Konserve,30,organic-food
Vegetarische Pasteten,561,organic-food
Bratlinge (nass),849,organic-food
Bohnentopf energiereduziert,97,organic-food
Erbsentopf energiereduziert,134,vegetarisches-essen
Linsentopf energiereduziert,280,organic-food
Kohlroulade Konserve,210,organic-food
Gemüsemischung Erbsen-Karotten roh,193,organic-food
Gemüsemischung mexikanische Art roh,182,organic-food
Gemüsemischung chinesische Art roh,110,organic-food
Gemüsemischung chinesische Art frittiert (zubereitet ohne Fett),111,organic-food
Noriblatt,532,kirsche
Sojaeiweiß,2769,proteine
Sojaeiweißisolat,0,proteine
Sojalecithin,0,organic-food
Sojaklöße (nass) Konserve,1674,organic-food
Sojawurst Konserve,561,organic-food
Sojakonzentrat texturiert (VEP),0,organic-food
Glasnudeln roh,11,nudeln
Nüsse,1567,organic-food
Nüsse roh,1567,organic-food
Nussmus,729,organic-food
Erdnuss,1567,organic-food
Erdnuss roh,1540,organic-food
Erdnuss entfettet,2959,peanut-butter
Erdnuss Mehl,1624,flour
Erdnuss Mehl entfettet,2833,peanut-butter
Erdnussmus,1426,organic-food
Walnüsse,700,organic-food
Walnuss roh,650,organic-food
Walnüsse Mehl,710,flour
Walnüsse Mus,710,organic-food
Walnuss europäisch,700,organic-food
Walnuss europäisch roh,700,organic-food
Walnuss schwarz roh,906,organic-food
Walnuss grau roh,926,organic-food
Haselnuss,712,organic-food
Haselnuss roh,680,organic-food
Haselnuss Mehl,729,flour
Haselnussmus,729,organic-food
Hickorynuss roh,551,organic-food
Hickorynuss entfettet,1929,organic-food
Hickorynuss Mehl,567,flour
Hickorynuss Mehl entfettet,2146,flour
Kokosnuss,193,kawaii-ice-cream
Kokosnuss roh,180,organic-food
Kokosnuss entfettet,298,organic-food
Kokosmilch,11,coconut-milk
Kokosfruchtfleisch,193,organic-food
Kokosfruchtfleisch roh,193,organic-food
Pecannuss roh,551,organic-food
Cashewnuss,984,organic-food
Cashewnuss roh,970,organic-food
Cashewnuss Mehl entfettet,1855,organic-food
Paranuss,716,organic-food
Paranuss roh,710,organic-food
Paranuss Mehl,727,flour
Macadamianuss roh,274,organic-food
Anderes Schalenobst,1200,kirsche
Mandel süß,1200,sweets
Mandel süß roh,1160,kirsche
Mandel süß Mehl,1243,kirsche
Mandel süß Pulver,1200,kirsche
Mandel süß Mus,1243,sweets
Mandelmus,788,kirsche
Mandelmus pur,788,kirsche
Mandel bitter,1200,kirsche
Mandel bitter roh,1255,kirsche
Edelkastanien,113,kirsche
Edelkastanie (Marone) roh,110,organic-food
Edelkastanien (Maronen) Mehl,188,flour
Edelkastanien (Maronen) Mus,116,organic-food
Kastanie europäisch (Marone) roh,113,organic-food
Kastanie chinesisch roh,190,organic-food
Kastanie japanisch roh,77,organic-food
Pistazie,1066,kirsche
Pistazie roh,1066,pistachio-sauce
Kolanuss roh,233,organic-food
Kolanuss Mus,257,organic-food
Wassernüsse roh,62,kirsche
"Wasserkastanie (Wassernuss chin., Sumpfsimse süß) roh",62,kirsche
Kerne,1534,kirsche
Kürbiskern,1534,organic-food
Kürbiskern roh,1534,organic-food
Kürbiskern Pulver,1534,organic-food
Pinienkern,892,kirsche
Pinienkern roh,892,kirsche
Pfirsichkern,1256,pfirsich
Pfirsichkern roh,1256,pfirsich
Aprikosenkern,1256,aprikose
Ölsamen,1107,organic-food
Ölsamen roh,1107,organic-food
Leinsamen,1107,organic-food
Leinsamen roh,1070,organic-food
Leinsamen entölt entfettet,1708,organic-food
Leinsamen Pulver,1107,organic-food
Sesam,1255,organic-food
Sesam roh,1250,organic-food
Sesam Pulver,1255,sesame
Sonnenblumenkern,1289,organic-food
Sonnenblumenkern roh,1250,sunflower-butter
Sonnenblumenkern entölt entfettet,1714,organic-food
Sonnenblumenkernmehl,1960,flour
Sonnenblumenkernmehl entfettet,2270,flour
Sonnenblumenkern Mus,929,organic-food
Mohn,946,kirsche
Mohn roh,1100,kirsche
Mohn entölt entfettet,1604,organic-food
Baumwollsaat,1232,bayerische-brezel
Baumwollsaat roh,1232,bayerische-brezel
Baumwollsaat Mehl,2306,flour
Baumwollsaat Mehl entfettet,2804,flour
Buchecker,281,organic-food
Buchecker roh,281,bayerische-brezel
Bucheckern entölt entfettet,551,organic-food
Bucheckern Mehl entfettet,563,flour
Saflorsaat,748,kirsche
Saflorsaat roh,748,kirsche
Ölfrüchte,62,olive
Ölfrüchte roh,63,organic-food
Oliven,62,olive
Oliven grün roh,63,olive
Oliven schwarz,45,olive
Oliven schwarz roh,100,olive
Bambussprossen roh,88,organic-food
Sojasprossen roh,257,organic-food
Bohnensprossen,199,organic-food
Bohnensprossen roh,199,organic-food
Luzernensprossen (Alfalfa),213,organic-food
Luzernensprossen (Alfalfa) roh,213,organic-food
Mungobohnensprossen,172,vegetarisches-essen
Mungobohnensprossen roh,172,vegetarisches-essen
Getreidesprossen roh,149,organic-food
Hülsenfrüchte reif,1139,organic-food
Hülsenfrüchte reif roh,1139,organic-food
Helmbohnen indisch reif roh,1136,kirsche
Helmbohnen indisch reif Mehl,1160,ingredients-for-cooking
Helmbohnen indisch reif Konserve,283,kirsche
Chinabohnen reif roh,1332,kirsche
Chinabohnen reif Konserve,331,kirsche
Straucherbsen reif roh,1740,kirsche
Straucherbsen reif Mehl,1573,flour
Straucherbsen reif Konserve,381,kirsche
Tamarinden (Sauerdattel) reif roh,128,organic-food
Tamarinden (Sauerdattel) reif Mehl,130,organic-food
Tamarinden (Sauerdattel) reif Konserve,32,kirsche
Erbsen reif roh,1139,peas
Erbsen reif Mehl,1199,flour
Kichererbsen reif roh,990,organic-food
Linsen reif roh,1237,organic-food
Linsen reif Mehl,1278,flour
Bohne weiß roh,1260,organic-food
Bohne weiß Mehl,1289,flour
Bohnen weiß reif,1260,organic-food
Bohne weiß reif roh,1260,organic-food
Kidney-Bohnen roh,1276,organic-food
Limabohnen reif roh,1287,organic-food
Bohnen dick (Saubohnen) reif roh,1261,organic-food
Bohnen dick (Saubohnen) reif Mehl,1375,organic-food
Sojabohnen reif roh,1868,organic-food
Sojabohnen reif Mehl,1896,organic-food
Sojabohnenmehl,1896,soy-sauce
Sojamehl,1896,flour
Sojamehl (entfettet) entbittert,2603,organic-food
Sojamehl halbfett,2509,organic-food
Sojamehl texturiert (VEP),2935,organic-food
Sojamehl vollfett,1860,organic-food
Sojaeiweiß texturiert (TVP),2769,proteine
Sojaeiweiß texturiert (TVP) pasteurisiert,2769,proteine
Sojaschrot,2382,organic-food
Sojaspeisekleie,720,organic-food
Sojamark,2302,organic-food
Mungobohnen reif,1365,organic-food
Mungobohnen reif roh,1570,organic-food
Vegetarische Lebensmittel,2049,organic-food
Frucht-Leinsaat,640,organic-food
Sojaerzeugnisse,2049,organic-food
Sojasoße,480,soy-sauce
Sojasoße weiße,480,organic-food
Sojadrink/Sojadrinkprodukte,181,organic-food
Sojadrink flüssig,180,organic-food
Sojaeiweißkonzentrat,2981,organic-food
Sojadrink Pulver,2314,organic-food
Sojadrink milchsauer,188,organic-food
Biologische pflanzliche Soja-Joghurtalternative,181,organic-food
Sojacreme (zum Kochen und Verfeinern),105,organic-food
Yuba,2682,kirsche
Tofu,840,vegetarisches-essen
Tofu fest,870,vegetarisches-essen
Tofu Seiden,282,firm-tofu
Tofu fest pasteurisiert,840,firm-tofu
Fermentierte Sojaprodukte,414,organic-food
Miso,495,soja
Miso Sojabohne,495,soy-sauce
Tempeh,894,vegetarisches-essen
Natto,873,soja
Ölsamenmus,929,organic-food
Bohnen weiß dick in Tomatensoße Konserve,192,organic-food
Kidney-Bohnen in Tomatensoße Konserve,634,kawaii-french-fries
Gulasch in Tomatensoße Sojabasis Konserve,457,beef
Sojabratlinge (nass),849,organic-food
Sojaklöße (nass),849,organic-food
Sojabouletten (nass),849,organic-food
Sojafleischzubereitung Trockenprodukt,1859,organic-food
Sojaschnitzel Trockenprodukt,1859,soy-sauce
Sojasteak Trockenprodukt,1859,steak
Sojaaufschnitt,296,soja
Sojapaste,732,soy-sauce
Tofu roh,414,organic-food
Hülsenfruchtgerichte Konservensuppen,183,organic-food
Bohnensuppe serbisch Konserve,183,organic-food
Pommes Frites roh,93,organic-food
Kartoffelchips roh,93,potato-chips
Kartoffelsticks roh,93,potato
Kartoffel-Chipsletten roh,93,potato
Kartoffeltrockenprodukte,314,potato
Kartoffelbreipulver,420,potato
Kartoffelstärke Mehl,6,flour
Knödelmehl,55,flour
Trockenkartoffeln Trockenprodukt,314,potato
Kartoffelflocken Trockenprodukt,314,potato
Kartoffelkloß Trockenprodukt,280,potato
Knödelpulver halb und halb,49,organic-food
Gnocchi roh,189,nudeln
Kartoffelchips (verzehrsfertig),250,potato-chips
Kartoffelsticks (verzehrsfertig),350,potato
Kartoffelchips (verzehrsfertig) energiereduziert,57,potato-chips
Kartoffelsuppe Konserve,50,organic-food
Fertiggerichte auf Kartoffelbasis Konserve,533,organic-food
Gaisburger Marsch Konserve,533,organic-food
Labskaus Konserve,400,organic-food
Stärkereiche Pflanzenteile,87,organic-food
Lotos-Wurzel roh,87,kirsche
Maniok (Cassava),31,kirsche
Maniok roh,31,kirsche
Maniok Pulver,76,organic-food
Batate (Süßkartoffel),84,potato
Batate roh,79,potato
Topinambur (Erdartischocke),106,artischocke
Topinambur roh,106,kirsche
Yamswurzel,115,kuerbis
Yamswurzel roh,115,kuerbis
Yamswurzel Pulver,337,kawaii-egg
Pfeilwurzel (Maranta),234,kirsche
Pfeilwurzel roh,234,kirsche
Pfeilwurzel Pulver,757,kawaii-egg
Taro (Wasserbrotwurzel) roh,89,kirsche
Taro (Wasserbrotwurzel) Pulver,273,organic-food
Japanknolle (Japankartoffel) roh,224,potato
Sagopalme roh,224,kirsche
Yamsbohne roh,42,kirsche
Yamsbohne Pulver,346,ingredients-for-cooking
Erzeugnisse stärkereicher Pflanzenteile,20,organic-food
Maniok (Cassava) Erzeugnisse,20,kawaii-french-fries
Tapioka,20,organic-food
Pfeilwurzelmehl (Marantastärke),18,flour
Sago,6,kirsche
Pilze roh,109,mushroom
Champignon roh,74,mushroom
Champignon frittiert (zubereitet ohne Fett),115,fry
Trüffel roh,190,organic-food
Trüffel Konzentrat,356,organic-food
Trüffel Pulver,709,organic-food
Morchel,118,mushroom
Morchel roh,118,mushroom
Birkenpilz roh,63,mushroom
Butterpilz roh,120,mushroom
