name;phe;emoji
Haricots, tortue noire, graines mûres, cuites, bouillies, sans sel;442;🌱
Haricots, canneberge (romaine), graines mûres, crues;1245;🌱
Haricots, cuits au four, en conserve, nature ou végétariens;267;🍽
Haricots, cuits au four, en conserve, avec des francs;349;🌭
Haricots, cuits au four, en conserve, avec du boeuf;329;🍔
Poisson, tilapia, cru;81;🐟
Poisson, saumon, rose, en conserve, solides égouttés;951;🐟
Saumon, saumon rouge, en conserve, contenu total de la boîte;877;🌱
Poisson, tilapia, cuit, chaleur sèche;105;🐟
Mollusques, huîtres, orientales, d'élevage, cuites, chaleur sèche;251;🌱
Mollusques, huîtres, orientales, d'élevage, crues;187;🍤
Crustacés, écrevisses, espèces mixtes, d'élevage, crus;625;🦀
Mollusques, huîtres, orientales, sauvages, cuites, chaleur sèche;321;🌱
Crustacés, écrevisses, espèces mixtes, d'élevage, cuits, chaleur humide;737;🦀
Poisson, saumon, atlantique, d'élevage, cuit, chaleur sèche;863;🌱
Crustacés, crabe, alaska king, cru;773;🦀
Poisson, silure, canal, d'élevage, cuit, chaleur sèche;735;🌱
Poisson, saumon, atlantique, d'élevage, cru;845;🐟
Poisson, silure, canal, d'élevage, cru;607;🌱
Poisson, limande à queue jaune, espèces mixtes, cru;904;🐟
Poisson, thon, blanc, en conserve dans l'eau, solides égouttés;922;🐟
Poisson, merlan, espèces mixtes, cuit, chaleur sèche;917;🐟
Poisson, salade de thon;626;🐟
Poisson, thon, blanc, en conserve dans l'huile, solides égouttés;1036;🐟
Poisson, loup de mer, atlantique, cru;683;🐟
Poisson, thon, frais, albacore, cru;913;🐟
Poisson, meunier, blanc, cru;654;🐟
Poisson, truite, arc-en-ciel, sauvage, cru;799;🐟
Poisson, crapet-soleil, graines de citrouille, cru;757;🐟
Poisson, thon, frais, listao, cru;859;🐟
Poisson, truite, arc-en-ciel, sauvage, cuit, chaleur sèche;895;🐟
Poisson, tile, cuit, chaleur sèche;956;🐟
Poisson, truite, espèces mixtes, cru;811;🐟
Poisson, éperlan, arc-en-ciel, cru;688;🐟
Poisson, esturgeon, espèces mixtes, fumé;1218;🐟
Poisson, esturgeon, espèces mixtes, cuit, chaleur sèche;808;🌱
Poisson, tête de mouton, cuit, chaleur sèche;1016;🐟
Poisson, éperlan, arc-en-ciel, cuit, chaleur sèche;882;🐟
Poisson, tête de mouton, cru;789;🐟
Poisson, scup, cru;737;🐟
Poisson, bar, espèces mixtes, cru;72;🐟
Poisson, requin, espèces mixtes, cuit, enrobé de pâte et frit;75;🌱
Poisson, sardine, Atlantique, en conserve dans l'huile, solides égouttés avec os;961;🌱
Poisson, sardine, Pacifique, en conserve dans une sauce tomate, solides égouttés avec os;793;🐟
Poisson, hoplostète, orange, cru;626;🐟
Poisson, saumon, rose, cru;845;🐟
Poisson, saumon, kéta, en conserve, solides égouttés avec os;837;🌱
Poisson, morue charbonnière, cru;524;🐟
Poisson, saumon, coho, sauvage, cuit, chaleur humide;1068;🌱
Poisson, saumon, coho, sauvage, cru;844;🐟
Poisson, brochet, doré, cru;747;🐟
Poisson, goberge, Alaska, cru (peut contenir des additifs pour retenir l'humidité);471;🐟
Poisson, brochet, nordique, cuit, chaleur sèche;964;🐟
Poisson, goberge, Atlantique, cru;759;🐟
Poisson, sébaste, Pacifique, espèces mixtes, cuit, chaleur sèche;935;🐟
Poisson, œufs, espèces mixtes, cru;1092;🐟
Poisson, rouget, rayé, cuit, chaleur sèche;968;🌱
Poisson, perche de mer, Atlantique, cru;638;🐟
Poisson, maquereau, roi, cru;792;🐟
Poisson, perche de mer, atlantique, cuit, chaleur sèche;772;🐟
Poisson, rouget, rayé, cru;755;🐟
Poisson, hareng, Atlantique, cuit, chaleur sèche;899;🌱
Poisson, maquereau, Atlantique, cuit, chaleur sèche;931;🐟
Poisson, maquereau, carangue, conserves, solides égouttés;905;🌱
Poisson, hareng, Atlantique, mariné;554;🐟
Poisson, maquereau, Atlantique, cru;726;🐟
Poisson, hareng, Atlantique, cru;701;🐟
Boissons, shake, restauration rapide, fraise;162;🌱
Boissons, Boisson à l'orange, type petit-déjeuner, avec jus et pulpe, concentré congelé;5;🍊
Boisson alcoolisée, liqueur, café à la crème, 34 proof;136;🍸
Viande de gibier, cheval, crue;879;🐴
Viande de gibier, cheval, cuite, rôtie;1157;🍖
Viande de gibier, cerf, cuite, rôtie;1233;🦌
Coquilles à tacos, cuites au four, sans sel ajouté;354;🌮
Craquelins, salés, sans gras, à faible teneur en sodium;514;🍞
Muffins anglais, nature, enrichis, sans propionate de calcium (inclut le levain);379;🍞
Tarte, tartes frites, citron;138;🍋
Popovers, mélange sec, non enrichi;517;🍞
Craquelins, fromage, faible teneur en sodium;49;🧀
Pâte à tarte, type standard, surgelée, prête à cuire, non enrichie;182;🥧
Beignets, levés à la levure, glacés, non enrichis (y compris les petits pains au miel);31;🍩
Pâte danoise, framboise, non enrichie;267;🌱
Craquelins, blé, faible teneur en sel;412;🍞
Crackers, saltines, faible teneur en sel (y compris huître, soda, soupe);493;🍞
Gâteau, type pudding, blanc, non enrichi, mélange sec;183;🌱
Craquelins, de type collation standard, réguliers, à faible teneur en sel;371;🍞
Gâteau, jaune, non enrichi, mélange sec;204;🍰
Gâteau, livre, préparé commercialement, autre que tout beurre, non enrichi;259;🌱
Crackers, saltines, dessus non salés (y compris huître, soda, soupe);452;🍞
Bagels, nature, enrichis, sans propionate de calcium (comprend oignon, pavot, sésame);519;🍞
Crêpes, babeurre, préparées à partir de la recette;339;🌱
Bagels, nature, non enrichis, sans propionate de calcium (comprend oignon, pavot, sésame);519;🍞
Gâteau, gâteau au café, cannelle avec garniture de chapelure, préparé commercialement, non enrichi;324;🌱
Gaufres, nature, surgelées, prêtes à réchauffer, grillées;31;🌱
Bagels, nature, non enrichis, avec propionate de calcium (comprend oignon, pavot, sésame);519;🍞
Agents levants, levure, boulanger, sec actif;175;🍞
Muffins, bleuets, type grille-pain, grillés;242;🌱
Muffins, son de blé, type grille-pain aux raisins secs, grillés;263;:bread:
Agents levants, levure, boulanger, comprimés;407;🍞
Pain, son de riz, grillé;478;🍞
Tortillas, prêtes à cuire ou à frire, farine, réfrigérées;265;🌮
Gaufres, nature, préparées à partir de la recette;395;🍳
Tortillas, prêtes à cuire ou à frire, maïs;285;🌮
Gaufres, nature, surgelées, prêtes à réchauffer;279;🍳
Petits pains sucrés, cannelle, préparés commercialement avec des raisins secs;3;🍞
Strudel, pomme;151;🌱
Petits pains, durs (comprend kaiser);489;🍞
Petits pains sucrés, fromage;343;🍞
Petits pains, dîner, son d'avoine;475;🍞
Pâte à tarte, type standard, surgelée, prête à cuire, enrichie, cuite;294;🥧
Petits pains, dîner, œuf;467;🍞
Petits pains, dîner, seigle;51;🍞
Pâte à tarte, de type standard, préparée à partir de la recette, cuite au four;324;🥧
Petits pains, dîner, blé;419;🍞
Pâte à tarte, type standard, mélange sec, préparé, cuit;328;🥧
Tarte, noix de pécan, préparée commercialement;205;🥧
Pâte à tarte, type standard, mélange sec;339;🥧
Pâte à tarte, type standard, surgelée, prête à cuire, enrichie;255;🥧
Tarte, pêche;81;🍑
Tarte, hachée, préparée à partir de la recette;112;🥧
Tarte, mousse au chocolat, préparée à partir de mélange, type sans cuisson;166;🍫
Tarte, crème de banane, préparée à partir de mélange, type sans cuisson;161;🍌
Tarte, citron meringuée, préparée à partir de la recette;194;🍋
Tarte, crème de noix de coco, préparée à partir d'un mélange, type sans cuisson;13;🥧
Tarte, crème de noix de coco, préparée commercialement;98;🥧
Crêpes, nature, préparées à partir de la recette;319;🌱
Tarte, pomme, préparée à partir de la recette;118;🍎
Tarte, pomme, farine enrichie préparée commercialement;88;🍎
Crêpes, nature, mélange sec, incomplet (comprend le babeurre);494;🌱
Crêpes, blé entier, mélange sec, incomplet, préparé;419;🌱
Crêpes, nature, mélange sec, incomplet, préparé;384;🌱
Cornets de crème glacée, type gâteau ou gaufrette;4;🍦
Crêpes, nature, mélange sec, complet, préparé;255;🌱
Cornets de crème glacée, sucre, type roulé;39;🍦
Muffins, maïs, type grille-pain;271;🍞
Muffins, maïs, préparés à partir de la recette, faits avec du lait faible en gras (2 %);35;🌱
Muffins, maïs, préparés commercialement;297;🍞
Muffins, maïs, mélange sec, préparé;367;🍞
Muffins, anglais, nature, grillés, enrichis, avec propionate de calcium (inclut le levain);491;:bread:
Hush Puppies, préparé à partir de la recette;382;🍴
Muffins, anglais, raisins-cannelle (comprend pomme-cannelle);343;🍞
Muffins, anglais, nature, enrichis, avec ca prop (inclut le levain);417;:bread:
Pain doré, préparé à partir de la recette, fait avec du lait faible en gras (2 %);389;🌱
Muffins, anglais, céréales mélangées (comprend granola);449;:bread:
Beignets, type gâteau, nature, sucrés ou glacés;244;🍩
Beignets, type gâteau, chocolat, sucrés ou glacés;224;:cake:
Beignets, type gâteau, nature, enrobés de chocolat ou givrés;223;:cake:
Croissant, fromage;455;🌱
Coquille de choux à la crème, préparée à partir de la recette;466;🍮
Croissant, pomme;359;🌱
Croissants, beurre;416;🌱
Craquelins, blé, régulier;396;🍞
Craquelins, biscottes;668;🍞
Craquelins, lait;376;🍪
Craquelins, de type collation standard, réguliers;331;🍞
Craquelins, type collation standard, sandwich, avec garniture au fromage;447;🧀
Craquelins, de type collation standard, sandwich, fourrés au beurre d'arachide;582;🍞
Craquelins, biscottes, blé;615;🍞
Craquelins, toasts Melba, seigle (comprend le pumpernickel);569;🍞
Biscuits, gaufrettes à la vanille, plus riches en matières grasses;235;🍪
Craquelins, biscottes, nature;596;🍞
Craquelins, fromage, régulier;49;🧀
Craquelins, fromage, type sandwich avec garniture au beurre d'arachide;652;🍞
Biscuits, gaufrettes au sucre, fourrés à la crème, sans sucre;145;🍪
Biscuits, sucre, préparés commercialement, réguliers (comprend la vanille);25;🍪
Biscuits, sucre, pâte réfrigérée;207;🍪
Biscuits, gaufrettes à la vanille, faibles en gras;243;🍪
Biscuits, sandwich au beurre de cacahuète, régime alimentaire spécial;509;🍪
Biscuits, sablés, préparés commercialement, noix de pécan;239;🌱
Biscuits, sandwich au beurre d'arachide, régulier;442;🍪
Biscuits, beurre d'arachide, préparés à partir de la recette;46;🍪
Biscuits, raisins secs, type doux;187;🍪
Biscuits, flocons d'avoine, mélange sec;327;🍪
Biscuits, flocons d'avoine, pâte réfrigérée;278;🍪
Biscuits, biscuits Graham, enrobés de chocolat;178;🍪
Biscuits, flocons d'avoine, pâte réfrigérée, cuits au four;309;🍪
Biscuits, doigts de dame, avec jus et zeste de citron;511;🌱
Biscuits, pépites de chocolat, pâte réfrigérée, cuits;242;🍪
Biscuits, pépites de chocolat, pâte réfrigérée;218;🍪
Biscuits, biscuits au gingembre;263;🍪
Biscuits, pépites de chocolat, mélange sec;224;🍪
Biscuits, fudge, type gâteau (y compris les gâteaux de chariot);207;🍪
Biscuits aux pépites de chocolat, préparés à partir de la recette, à base de margarine;271;🌱
Gâteau, jaune, préparé commercialement, avec glaçage à la vanille;174;🌱
Gâteau, type pudding, jaune, mélange sec;188;🍰
Biscuits, brownies, mélange sec, régulier;191;🍪
Biscuits, beurre, préparés commercialement, enrichis;299;🍪
Gâteau, jaune, enrichi, mélange sec;204;🍰
Biscuits, brownies, préparés à partir de la recette;298;🍪
Gâteau, petits gâteaux, fourrés à la crème, éponge;138;🍰
Gâteau, livre, préparé commercialement, autre que tout beurre, enrichi;259;🌱
Gâteau, shortcake, type biscuit, préparé à partir de la recette;302;🌱
Gâteau, petits gâteaux, fourrés à la crème, chocolat avec glaçage;156;:cake:
Gâteau, type pouding, chocolat, mélange sec;218;🌱
Gâteau, gâteau au café, cannelle avec garniture de chapelure, mélange sec, préparé;271;🍰
Gâteau, gâteau au café, fourré à la crème avec glaçage au chocolat;242;:cake:
Gâteau, gâteau aux fruits, préparé commercialement;14;:cake:
Gâteau, chocolat, préparé commercialement avec glaçage au chocolat, boulangerie en magasin;203;🌱
Gâteau, gâteau au café, fruits;249;🌱
Pain, bâtonnets, nature;59;🌱
Pain, farce, mélange sec;553;🍞
Pain, farce, mélange sec, préparé;142;🍞
Gâteau, type pudding, carotte, mélange sec;238;🌱
Gâteau, fudge aux cerises avec glaçage au chocolat;98;:cake:
Pain, chapelure, sec, râpé, nature;655;🍞
Pain, blanc, préparé à partir de la recette, fait avec du lait écrémé en poudre;383;🌱
Pain, blanc, préparé commercialement, grillé;444;🍞
Pain, blanc, préparé à partir de la recette, fait avec du lait faible en gras (2 %);389;🍞
Pain, son de riz;439;🍞
Pain, à teneur réduite en calories, blanc;419;🍞
Pain, hypocalorique, seigle;457;🍞
Pain, hypocalorique, flocons d'avoine;381;🌱
Pain, pumpernickel;422;🍞
Pain, multigrains, grillé (comprend les grains entiers);421;🍞
Pain, soda irlandais, préparé à partir de la recette;3;🍞
Pain, protéines (y compris le gluten);596;🍞
Pain, pita, blé entier;47;🍞
Pain, pita, blanc, enrichi;446;🍞
Pain, pain de maïs, mélange sec, préparé avec 2 % de lait, 80 % de margarine et des œufs;343;🌱
Pain, pain de maïs, mélange sec, enrichi (comprend un mélange de muffins au maïs);343;🍞
Pain, français ou viennois, grillé (y compris le levain);543;🍞
Pain, pain de maïs, préparé à partir de la recette, fait avec du lait faible en gras (2 %);33;🍞
Pain, brun boston, en conserve;233;🍞
Biscuits, nature ou babeurre, pâte réfrigérée, faible en gras;337;🍪
Bagels, nature, enrichis, avec propionate de calcium (comprend oignon, pavot, sésame), grillés;577;🍞
Biscuits, nature ou babeurre, pâte réfrigérée, faible en gras, cuit au four;391;🍪
Bagel, oeuf;523;🥯
Biscuits, nature ou babeurre, mélange sec;392;🍪
Pain, banane, préparé à partir de la recette, fait avec de la margarine;218;🌱
Biscuits, nature ou babeurre, mélange sec, préparé;355;🍪
Agneau, Australien, importé, frais, côtelette, français, dénudé, non désossé, maigre et gras séparable, paré à 0 gras, cuit, grillé;1149;🌱
Agneau, australien, importé, frais, filet, désossé, maigre et gras séparable, paré à 1/8 de gras, cuit, rôti;1148;🌱
Agneau, australien, importé, frais, gras externe, cru;468;🐑
Agneau, australien, importé, frais, cuisse, trotteur, non désossé, maigre et gras séparable, paré à 1/8 de gras, cuit, rôti;1121;🌱
Agneau, australien, importé, frais, gras externe, cuit;628;🍖
Agneau, australien, importé, frais, cuisse, jarret arrière, talon, non désossé, maigre et gras séparable, paré à 1/8 de gras, cuit, braisé;1098;🌱
Agneau, australien, importé, frais, cuisse, trotteur, non désossé, maigre et gras séparable, paré à 1/8 de gras, cru;816;🌱
Agneau, australien, importé, frais, cuisse, jarret arrière, talon, non désossé, maigre et gras séparable, paré à 1/8 de gras, cru;765;🌱
Agneau, australien, importé, frais, filet, désossé, maigre séparable seulement, paré à 1/8 de gras, cuit, rôti;1152;🌱
Agneau, Australien, importé, frais, cuisse, jarret arrière, talon, non désossé, maigre séparable seulement, paré à 1/8 de gras, cru;836;🌱
Agneau, australien, importé, frais, carré, rôti, français, dénudé, non désossé, maigre séparable seulement, paré à 0 gras, cuit, rôti;986;🌱
Agneau, australien, importé, frais, carré, rôti, français, non désossé, maigre séparable seulement, paré à 1/8 de gras, cuit, rôti;1041;🌱
Veau, graisse externe seulement, cuit;617;🌱
Agneau, australien, importé, frais, cuisse, jarret arrière, talon, non désossé, maigre séparable seulement, paré à 1/8 de gras, cuit, braisé;1143;🌱
Agneau, australien, importé, frais, cuisse, bas, désossé, maigre séparable seulement, paré à 1/8 de gras, cuit, rôti;1064;🌱
Veau, graisse de couture seulement, cru;506;🍖
Veau, graisse externe seulement, cru;357;🍖
Veau, épaule, côtelette de palette, maigre séparable seulement, cuit, grillé;1103;🌱
Agneau, Nouvelle-Zélande, importé, filet, maigre et gras séparable, cru;805;🌱
Veau, gigot, haut de ronde, sans chapeau, escalope, désossé, cuit, grillé;1287;🌱
Agneau, Nouvelle-Zélande, importé, cuisse désossée en tunnel, sans pied, sans jarret, maigre et gras séparable, cru;728;🌱
Veau, haché, cuit, poêlé;1042;🌱
Agneau, Nouvelle-Zélande, importé, épaule carrée, maigre et gras séparable, cuit, rôti lentement;822;🌱
Agneau, Nouvelle-Zélande, importé, côtelettes d'épaule coupées en carré, maigre et gras séparable, cuit, braisé;1055;🌱
Agneau, Nouvelle-Zélande, importé, côtelettes d'épaule coupées en carré, maigre et gras séparable, cru;67;🌱
Boissons, thé, noir, infusé, préparé avec de l'eau du robinet, décaféiné;0;🌱
Boissons, mélange pour boisson à saveur de fraise, en poudre, préparé avec du lait entier;146;🌱
Boissons, mélange pour boisson maltée, chocolat, poudre, préparé avec du lait entier;15;🍫
Boissons gazeuses à l'orange;0;🍊
Boissons gazeuses, club soda;0;🌱
Boissons, lait d'amande, chocolat, prêt-à-boire;28;🌱
Boisson alcoolisée, distillée, vodka, 80 proof;0;🍸
Boisson alcoolisée, distillée, rhum, 80 proof;0;🍹
Boisson alcoolisée, distillée, tout (gin, rhum, vodka, whisky) 80 proof;0;🍸
Collations, bretzels, sans gluten à base de fécule de maïs et de farine de pomme de terre;31;🌱
Soupe aigre-piquante, restaurant chinois;85;🍜
Soupe, bonbon aux œufs, restaurant chinois;28;🍜
Snacks, barre granola, GENERAL MILLS, NATURE VALLEY, avec enrobage de yogourt;294;🌱
Snacks, barre granola, GENERAL MILLS NATURE VALLEY, NOIX SUCRÉE&SALÉE, cacahuète;471;🌱
Snacks, chips de légumes, à base de légumes du jardin;23;🍅
Collations, barres granola, QUAKER OATMEAL TO GO, toutes les saveurs;322;🌱
Barre formulée, MARS SNACKFOOD US, SNICKERS MARATHON Protein Performance Bar, Caramel Nut Rush;1337;🌱
Barre formulée, LUNA BAR, NUTZ SUR CHOCOLAT;111;🌱
Collations, maïs soufflé, micro-ondes, saveur régulière (beurre), à base d'huile partiellement hydrogénée;323;🌱
Collations, croustilles de patates douces, non salées;278;🍠
Boeuf, flanc, bifteck, maigre séparable seulement, paré à 0 gras, sélectionné, cru;847;🌱
Snacks, FRITOLAY, SUNCHIPS, Snack Multicéréales, saveur originale;34;🌱
Boeuf, flanc, bifteck, maigre séparable seulement, paré à 0 gras, tous grades, cru;852;🌱
Boeuf, bas de surlonge, rôti à trois pointes, maigre séparable seulement, paré à 0 gras, sélectionné, cuit, rôti;1073;🌱
Boeuf, flanc, steak, maigre séparable seulement, paré à 0 gras, sélectionné, cuit, grillé;1104;🌱
Boeuf, flanc, bifteck, maigre séparable seulement, paré à 0 gras, tous grades, cuit, grillé;1102;🌱
Bœuf, bas de surlonge, rôti à trois pointes, maigre séparable seulement, paré à 0 gras, au choix, cru;836;🌱
Boeuf, mandrin, rôti de bras, maigre séparable seulement, paré à 1/8 de gras, sélectionné, cuit, braisé;1367;🌱
Boeuf, bas de surlonge, rôti à trois pointes, maigre séparable seulement, paré à 0 gras, tous les grades, cru;84;🌱
Boeuf, poitrine, moitié plate, maigre séparable seulement, paré à 1/8 de gras, sélectionné, cuit, braisé;131;🌱
Boeuf, bas de surlonge, rôti à trois pointes, maigre séparable seulement, paré à 0 gras, au choix, cuit, rôti;104;🌱
Boeuf, côte, petit bout (côtes 10-12), maigre séparable seulement, paré à 1/8 de gras, au choix, cru;874;🌱
Boeuf, haut de surlonge, steak, maigre séparable seulement, paré à 1/8 de gras, au choix, cru;865;🌱
Bœuf, mandrin, rôti de bras, maigre séparable seulement, paré à 1/8 de gras, sélectionné, cru;879;🌱
Boeuf, côte, petit bout (côtes 10-12), maigre séparable seulement, paré à 1/8 de gras, au choix, cuit, grillé;1117;🌱
Boeuf, filet, steak, maigre séparable seulement, paré à 1/8 de gras, au choix, cru;874;🌱
Boeuf, poitrine, moitié plate, maigre séparable seulement, paré à 1/8 de gras, sélectionné, cru;847;🌱
Boeuf, composé de coupes de détail parées, maigre séparable seulement, paré à 1/8 de gras, tous les grades, cru;914;🌱
Bœuf, composite de coupes de détail parées, maigre et gras séparable, paré à 0 gras, tous grades, cru;801;🌱
Bœuf, composé de coupes de détail parées, maigre séparable seulement, paré à 1/8 de gras, tous grades, cuit;1189;🌱
Bœuf, composé de coupes de détail parées, maigre séparable seulement, paré à 0 gras, tous grades, cru;866;🌱
Bœuf, haché, 97 % de viande maigre / 3 % de matières grasses, émietté, cuit, poêlé;1148;🍔
Bœuf, haché, 93 % de viande maigre / 7 % de matières grasses, pain, cuit, cuit au four;1054;🍔
Bœuf, haché, 93 % de viande maigre / 7 % de matières grasses, émietté, cuit, poêlé;1126;🍔
Bœuf, haché, 93 % de viande maigre / 7 % de matières grasses, galette, cuit, poêlé;998;🍔
Bœuf, haché, 93 % de viande maigre / 7 % de matières grasses, galette, cuit, grillé;1022;🍔
Boeuf, Nouvelle-Zélande, importé, contre-filet, maigre et gras séparable, cuit, frit rapidement;968;🌱
Boeuf, Nouvelle-Zélande, importé, centre de croupe, maigre et gras séparable, cru;842;🌱
Boeuf, Nouvelle-Zélande, importé, centre de la croupe, maigre séparable seulement, cru;845;🍖
Boeuf, Nouvelle-Zélande, importé, centre de croupe, maigre et gras séparable, cuit, frit rapidement;1167;🌱
Boeuf, Nouvelle-Zélande, importé, plat, maigre et gras séparable, cuit, braisé;1239;🌱
Boeuf, Nouvelle-Zélande, importé, flanc, maigre et gras séparable, cuit, braisé;1171;🌱
Boeuf, Nouvelle-Zélande, importé, flanc, maigre et gras séparable, cru;782;🌱
