name;phe;icon
Grießklößchen Trockenprodukt;600;organic-food
Grütze Konserve;479;kirsche
Pikanter Reistopf energiereduziert;109;essen-und-wein
Gemüse-Reistopf energiereduziert;84;vegetarian-food-symbol
Feinbackwaren Torten Kuchen;140;kuchen
Backerbsen;337;organic-food
Salzgebäck;469;bayerische-brezel
Kümmelstange;452;bayerische-brezel
Zwieback;484;bayerische-brezel
Nährzwieback;535;bayerische-brezel
Eierzwieback;592;organic-food
Schokozwieback;455;organic-food
Kokoszwieback;378;organic-food
Butterzwieback;529;organic-food
Zwieback eifrei;520;organic-food
Zwieback glutenfrei;392;organic-food
Erdnussflips;532;organic-food
Cracker;528;brezel
Käse-Cracker;723;organic-food
Pizza-Cracker;557;pizza
Knabbergebäck;469;organic-food
Salzstangen;469;salt
Teigarten roh;357;bayerische-brezel
Ausbackteig, süß roh;362;kuchen
Blätterteig roh;198;organic-food
Brandmasse roh;289;kirsche
Hefeteig roh;357;flour
Hefeteig leicht roh;373;bayerische-brezel
Hefeteig mittelschwer roh;357;bayerische-brezel
Hefeteig schwer roh;324;bayerische-brezel
Bierteig roh;382;bayerische-brezel
Pizzateig roh;281;flour
Biskuit eiweißarm glutenfrei natriumarm;13;organic-food
Diabetikerbackwaren;984;organic-food
Vollkornzwieback für Diabetiker;984;organic-food
Sacherboden;383;kuchen
Wienerboden;390;organic-food
Biskuit-Roulade;396;cookie
Schokobiskuit leicht;489;chocolate-bar-white
Schokobiskuit schwer;450;chocolate-bar-white
Schoko-Roulade;484;chocolate-bar-white
Kombinationsgebäck;309;organic-food
Zwiebelkuchen;309;onion
Obstkuchen aus Rührmasse;171;kuchen
Obstkuchen aus Rührmasse (ohne Flüssigkeit zubereitet);170;kuchen
Apfelkuchen aus Rührmasse;171;kuchen
Spiegeleierkuchen aus Rührmasse;145;organic-food
Obstkuchen aus Hefeteig energiereduziert;158;kuchen
Obstkuchen aus Hefeteig energiereduziert (mit Wasser zubereitet);140;kuchen
Apfelkuchen aus Hefeteig energiereduziert;158;kuchen
Blaubeerkuchen aus Hefeteig energiereduziert;263;organic-food
Obstkuchen aus Hefeteig fettreich;294;kuchen
Obstkuchen aus Quarkölteig;496;kuchen
Obstkuchen aus Mürbeteig fettreich;140;kuchen
Apfel-Streuselkuchen aus Mürbeteig fettreich;94;kuchen
Apfel-Streuselkuchen aus Mürbeteig fettreich (mit Milch 3,5 % Fett zubereitet);99;kuchen
Apfel-Streuselkuchen aus Mürbeteig fettreich (mit Milch 1,5% Fett zubereitet);98;kuchen
Apfel-Streuselkuchen aus Mürbeteig fettreich (mit Buttermilch zubereitet);100;kuchen
Obsttorten;85;kirsche
Quark-Apfel-Torte;352;kuchen
Obsttorten aus Rührmasse;151;kuchen
Obsttorte aus Rührmasse;151;kuchen
Obsttorte aus Sandmasse;123;kuchen
Obsttorten aus Mürbeteig fettreich;95;kuchen
Kirschtorte aus Mürbeteig fettreich;234;kirsche
Obsttörtchen aus Mürbeteig fettreich;95;kuchen
Mohn-Apfeltorte aus Mürbeteig fettreich;248;kuchen
Mohn-Apfeltorte aus Mürbeteig fettreich (ohne Flüssigkeit zubereitet);253;kuchen
Torten;228;kuchen
Cremetorte;285;dessert
Sachertorte;337;dessert
Käsesahnetorte;221;dessert
Nusssahnetorte;349;organic-food
Linzertorte;415;kuchen
Schwarzwälder Kirschtorte;228;kirsche
Marzipantorte;317;kuchen
Sachertorte (mit Milch 1,5% Fett zubereitet);302;organic-food
Nusssahnetorte (mit Milch 1,5% Fett zubereitet);273;organic-food
Französische Schokoladentorte;404;dessert
Makronentorte;475;kuchen
Baisertorte;153;dessert
Charlotte Torte (Mokka);289;kuchen
Holländer Kirschsahne-Torte/-Schnitten;129;kirsche
Flockensahne;176;flour
Herrentorte;289;kuchen
Torte aus Biskuitmasse;279;kuchen
Cremetorte aus Biskuitmasse;285;dessert
Käsetorte aus Biskuitmasse;221;organic-food
Käsesahnetorte aus Biskuitmasse;221;organic-food
Biskuitrolle;258;cookie
Buttercremetorte aus Biskuitmasse;285;kuchen
Aprikosen-Sahne-Torte aus Biskuitmasse;138;kuchen
Biskuitrollenbombe;154;organic-food
Zuger Kirschtorte aus Biskuitmasse;256;kirsche
Buchweizenmehl-Torte aus Biskuitmasse;220;flour
Karotten-Nuss-Torte aus Biskuitmasse;357;kuchen
Mokka-Sahne-Torte aus Biskuitmasse;251;kuchen
Trüffel-Torte aus Biskuitmasse;283;organic-food
Festliche Mokkacreme-Torte aus Biskuitmasse;292;dessert
Erdbeer-Sahne-Torte aus Biskuitmasse;212;kuchen
Schokoladen-Sahne-Torte aus Biskuitmasse;270;dessert
Zitronen-Sahne-Torte aus Biskuitmasse;212;kuchen
Zaubertorte aus Biskuitmasse;274;kuchen
Mokka-Buttercremetorte aus Biskuitmasse;324;kuchen
Schokoladen-Buttercremetorte aus Biskuitmasse;321;dessert
Biskuit-Obsttorte;191;kuchen
Biskuit-Obsttorte (mit Milch 3,5 % Fett zubereitet);189;kuchen
Biskuit-Obsttorte (mit Milch 1,5% Fett zubereitet);190;kuchen
Torte aus Wienermasse;273;kuchen
Cremetorte aus Wienermasse;273;dessert
Joghurt-Sahne Torte;227;dessert
Torte aus Rührmasse;443;kuchen
Cremetorte aus Rührmasse;273;kuchen
Käsetorte aus Rührmasse;443;organic-food
Schokoladentorte aus Rührmasse;273;dessert
Prinzregententorte;286;kuchen
Schokoladen-Nuss-Torte aus Rührmasse;452;organic-food
Schokoladen-Kirsch-Torte aus Rührmasse;222;kirsche
Torte aus Sandmasse;175;kuchen
Cremetorte aus Sandmasse;175;kuchen
Traubentorte aus Sandmasse;114;kuchen
Mandelsandtorte;417;dessert
Torte aus Mürbeteig fettreich;432;kuchen
Käsetorte aus Mürbeteig fettreich;432;organic-food
Tortenboden aus Mürbeteig fettreich;304;organic-food
Kuchen;290;kuchen
Nusskuchen;493;nuss
Englischer Teekuchen;214;kuchen
Muffins (englischer Teekuchen);337;muffin
Englischer Teekuchen (mit Buttermilch zubereitet);350;kuchen
Kartoffelkuchen;267;potato
Honigkuchen;213;organic-food
Rahmkuchen;347;kuchen
Kuchen aus Biskuitmasse;292;kuchen
Biskuitschnitte;292;cookie
Bismarck-Eiche aus Biskuitmasse;269;kuchen
Mandarinen-Omelettkuchen aus Biskuitmasse;185;kuchen
Rehrücken aus Biskuitmasse;385;beef
Früchtebrot;313;organic-food
Sandmasse roh;238;kirsche
Rührmasse roh;326;ingredients-for-cooking
Rührkuchen;326;kuchen
Kuchen aus Rührmasse;317;kuchen
Donau-Wellen aus Rührmasse (ohne Flüssigkeit zubereitet);214;bayerische-brezel
Nusskuchen aus Rührmasse;493;kuchen
Rosinenkuchen aus Rührmasse;279;kuchen
Nuss-Aprikosen-Kuchen aus Rührmasse;320;nuss
Marmorkuchen aus Rührmasse (mit Wasser zubereitet);302;kuchen
Marmorkuchen aus Rührmasse (ohne Fett zubereitet);389;kuchen
Marmorkuchen aus Rührmasse;394;kuchen
Mandelkuchen aus Rührmasse;493;kuchen
Makronenkuchen aus Rührmasse;447;kuchen
Donau-Wellen aus Rührmasse;193;organic-food
Schichtkuchen aus Rührmasse;280;kuchen
Rodon-Kuchen aus Rührmasse;278;kuchen
Apfelsinen-Kuchen aus Rührmasse;247;kuchen
Ananas-Marzipan-Kuchen aus Rührmasse;368;kuchen
Ottilienkuchen aus Rührmasse;424;kuchen
Marmorkuchen aus Rührmasse (ohne Flüssigkeit zubereitet);321;kuchen
Rehrücken aus Rührmasse;430;beef
Eiserkuchen aus Rührmasse;232;organic-food
Früchtebrot aus Rührmasse;313;organic-food
Quarkstollen aus Rührmasse;272;kuchen
Schokoladenkuchen aus Rührmasse (ohne Flüssigkeit zubereitet);396;kuchen
Schokoladenkuchen aus Rührmasse (ohne Fett zubereitet);428;kuchen
Quark-Napfkuchen aus Rührmasse;443;kuchen
Schokoladenkuchen aus Rührmasse;412;kuchen
Gewürzkuchen aus Rührmasse;346;kuchen
Kuchen aus Sandmasse;238;kuchen
Sandkuchen;238;kuchen
Napfkuchen aus Sandmasse;252;kuchen
Nusskuchen aus Sandmasse;435;kuchen
Englischer Kuchen aus Sandmasse;252;kuchen
Königskuchen aus Rührmasse;271;kuchen
Frankfurter Kranz aus Sandmasse (ohne Flüssigkeit zubereitet);292;bayerische-brezel
Frankfurter Kranz aus Sandmasse;175;kuchen
Wiener Sandtorte;229;dessert
Kuchen aus Hefeteig energiereduziert;376;kuchen
Hefezopf aus Hefeteig energiereduziert;376;bayerische-brezel
Hefezopf Dreierlei aus Hefeteig energiereduziert;406;bayerische-brezel
Anis-Zopf aus Hefeteig energiereduziert;359;bayerische-brezel
Mohnrolle aus Hefeteig energiereduziert;426;kirsche
Mohnrolle aus Hefeteig energiereduziert (mit Milch 1,5% Fett zubereitet);404;bayerische-brezel
Mohnrolle aus Hefeteig energiereduziert (mit Wasser zubereitet);384;kirsche
Mohnrolle aus Hefeteig energiereduziert (ohne Flüssigkeit zubereitet);451;bayerische-brezel
Mohnrolle aus Hefeteig ohne Fett;404;bayerische-brezel
Kuchen aus Hefeteig fettreich;290;kuchen
Bienenstich aus Hefeteig ohne Fett (mit Buttermilch zubereitet);331;bayerische-brezel
Bienenstich aus Hefeteig fettreich (mit Wasser zubereitet);244;organic-food
Bienenstich aus Hefeteig fettreich (mit Buttermilch zubereitet);307;organic-food
Käsekuchen aus Hefeteig fettreich;286;organic-food
Bienenstich aus Hefeteig fettreich;297;organic-food
Streuselkuchen aus Hefeteig fettreich;290;kuchen
Brioches ohne Füllung;360;organic-food
Butterkuchen aus Hefeteig fettreich;308;kuchen
Plattenkuchen aus Hefeteig fettreich;361;organic-food
Zuckerkuchen aus Hefeteig fettreich;335;kuchen
Hamburger Kaffeebrot aus Hefeteig fettreich;296;hamburger
Mandelbrot aus Hefeteig fettreich;370;organic-food
Mandelkuchen aus Hefeteig fettreich;414;kuchen
Rosenkuchen aus Hefeteig fettreich;292;kuchen
Dresdner Stollen aus Hefeteig fettreich;295;organic-food
Dresdner Stollen aus Hefeteig fettreich (mit Wasser zubereitet);275;organic-food
Mohnstollen aus Hefeteig fettreich;419;kuchen
Marzipanstollen aus Hefeteig fettreich;323;zimtschnecke
Marzipanstollen aus Hefeteig fettreich (ohne Flüssigkeit zubereitet);337;organic-food
Plunder-Kranz aus Hefeteig fettreich;343;bayerische-brezel
Nusskranz aus Hefeteig fettreich;310;nuss
Mandelkranz aus Hefeteig fettreich;375;kuchen
Bienenstichkranz aus Hefeteig fettreich;310;organic-food
Mohnkranz aus Hefeteig fettreich;361;croissant
Braunschweiger Hefekuchen aus Hefeteig fettreich;297;kuchen
Thüringer Obstkuchen aus Hefeteig fettreich;294;kuchen
Gedeckter Apfelblechkuchen aus Hefeteig fettreich;129;kuchen
Kuchen aus Quarkölteig;496;kuchen
Rosenkuchen aus Quarkölteig;385;kuchen
Mohn-Gitter-Torte aus Quarkölteig;436;kuchen
Gerollte Schnitte aus Quarkölteig;338;organic-food
Quark-Tasche aus Quarkölteig;496;organic-food
Schinken-Röllchen aus Quarkölteig;518;organic-food
Kuchen aus Mürbeteig;155;kuchen
Käsekuchen aus Mürbeteig;432;kuchen
Napfkuchen aus Mürbeteig;430;kuchen
Nusskuchen aus Mürbeteig;370;kuchen
Käsekuchen aus Mürbeteig (mit Wasser zubereitet);412;organic-food
Käsekuchen aus Mürbeteig (ohne Flüssigkeit zubereitet);469;organic-food
Käsekuchen aus Mürbeteig (mit Buttermilch zubereitet);436;organic-food
Zwetschgenkuchen aus Mürbeteig;155;kuchen
Mandeltorte (Mazarin-Torte) aus Mürbeteig;430;kuchen
Haselnuss-Kranz aus Mürbeteig;370;kuchen
Kuchen aus Blätterteig;416;kuchen
Französische Apfeltorte aus Blätterteig;107;kuchen
Kuchen eiweißarm glutenfrei natriumarm;21;organic-food
Teekuchen glutenfrei;264;organic-food
Kuchen/Torten aus Strudelteig;458;kuchen
Wiener Apfel-Strudel;102;apfel
Apfelstrudel;108;apfel
Kirschstrudel;146;kirsche
Quarkstrudel;458;dessert
Kirschstrudel (mit Milch 3,5% Fett zubereitet);163;kirsche
Plätzchen aus Baisermasse;478;cookie
Russisch-Brot aus Baisermasse;478;bayerische-brezel
Baiser;329;kuchen
Schokoladen-Baiser;427;chocolate-bar-white
Zimtsterne aus Baisermasse;678;sweets
Zuckerlis aus Baisermasse;695;sweets
Wespennester aus Baisermasse;592;kawaii-french-fries
Maiskeks glutenfrei;253;organic-food
Schokokeks glutenfrei;317;organic-food
Zitronenkeks glutenfrei;150;organic-food
Müslikeks glutenfrei;461;organic-food
Löffelbiskuit glutenfrei;425;organic-food
Haselnussgebäck glutenfrei;234;organic-food
Waffeln glutenfrei;157;organic-food
Gewürzgebäck glutenfrei;133;organic-food
Joghurtriegel glutenfrei;358;organic-food
Waffelmassenbackwaren;307;organic-food
Waffeln;307;organic-food
Eiswaffeln;322;eis-in-der-waffel
Waffelkeks;322;cookie
Sahnewaffel;307;organic-food
Sandwaffel;454;bayerische-brezel
Apfelwaffel;440;apfel
Gewürzwaffel;390;spice
Schinkenwaffel;704;organic-food
Käsewaffel;659;organic-food
Diabetikergebäck;627;organic-food
Eiswaffeln für Diabetiker;452;organic-food
Haferkeks für Diabetiker;627;organic-food
Waffeln eiweißarm glutenfrei;25;organic-food
Kleinteile aus Hartkeksteig;391;organic-food
Butterkeks;391;cookie
Feinbackwaren aus Strudelteig;537;organic-food
Lebkuchenteigbackwaren;524;organic-food
Dominosteine;320;kuchen
Weißer Lebkuchen;374;organic-food
Elisenlebkuchen;524;organic-food
Lebkuchen;554;organic-food
Schokoladen-Lebkuchen;607;chocolate-bar-white
Printen;438;bayerische-brezel
Nussprinten;438;organic-food
Schokoladen-Printen;377;organic-food
Back-Oblaten (50mmØ);365;organic-food
Pfeffernüsse;374;kawaii-ice-cream
Nürnberger Lebkuchen;352;organic-food
Liegnitzer;342;brezel
Feiner Honigkuchen;368;kuchen
Ostpreußischer Honigkuchen;315;kuchen
Dicker Honigkuchen;309;kuchen
Pfefferkuchen;351;organic-food
Sirupkuchen;309;kuchen
Kathrinchen (Honigteigplätzchen);296;organic-food
Honigkuchenplätzchen;295;cookie
Pflastersteine;264;bayerische-brezel
Honigkuchenhäufchen;287;organic-food
Ölsamenmassenbackwaren;303;bayerische-brezel
Makronen;652;macaron
Kokosmakronen;303;organic-food
Mandelmakronen;800;kirsche
Schokoladen-Kokosmakronen;407;organic-food
Schokoladen-Haselnussmakronen;550;organic-food
Marzipan-Monde;724;sweets
Baumkuchenmassenbackwaren;421;organic-food
Baumkuchen;421;kuchen
Plätzchen Kekse;309;kekse
Zedernbrot;485;organic-food
Raspeli;310;kirsche
Haferflockenplätzchen;405;cookie
Haferflocken-Nussgebäck;415;organic-food
Springerle;333;kuchen
Baklava;309;dessert
Aprikosen-Krapfen (mit Wasser zubereitet);145;aprikose
Aprikosen-Krapfen;149;aprikose
Apfelscheiben in Rumteig;133;kirsche
Bananen im Ausbackteig;212;bananen-split
Plätzchen aus Biskuitmasse;615;cookie
Schokoladen-Biskuitplätzchen;619;cookie
Löffelbiskuit aus Biskuitmasse;615;cookie
Biskuitplätzchen;569;cookie
Biskuitkapseln;615;cookie
Anisplätzchen aus Biskuitmasse;431;kuchen
Amerikanische Cookies;322;cookie
Orangenplätzchen aus Biskuitmasse;282;cookie
Plätzchen eiweißarm glutenfrei natriumarm;20;organic-food
Plätzchen aus Brandmasse;289;cookie
Flockentorte aus Brandmasse;189;kuchen
Preiselbeer-Kranz aus Brandmasse;242;kirsche
Käse-Windbeutel aus Brandmasse;402;organic-food
Fettgebackenes aus Brandmasse;401;organic-food
Eberswalder Spritzkuchen aus Brandmasse;284;kuchen
Plätzchen aus Mürbeteig;409;cookie
Spritzgebäck aus Rührteig;348;cookie
Spekulatius aus Mürbeteig;409;organic-food
Käsemürbeteigplätzchen;758;cookie
Teegebäck aus Mürbeteig;360;cookie
Fettgebackenes aus Mürbeteig;331;bayerische-brezel
Silvester-Rosen aus Mürbeteig;530;kuchen
Vanille-Mürbchen;263;kirsche
Aprikosen-Mandel-Schnitten aus Mürbeteig;326;aprikose
Nusstaler aus Mürbeteig;363;bayerische-brezel
Streuselplätzchen aus Mürbeteig;331;kuchen
Schoko-Eierlikör-Kränzchen aus Mürbeteig;277;organic-food
Erdnuss-Teilchen aus Mürbeteig;580;organic-food
Schwarz-Weiß-Gebäck aus Mürbeteig;329;organic-food
Nussecken aus Mürbeteig;379;kuchen
Dukatenplätzchen aus Mürbeteig;358;cookie
Mandelgebäck aus Mürbeteig;445;cookie
Buttergebäck aus Mürbeteig;309;cookie
Husarenkrapfen aus Mürbeteig;346;bayerische-brezel
Haselnusskugeln aus Mürbeteig;394;organic-food
Nussstangen aus Mürbeteig;348;nuss
Spitzbuben aus Mürbeteig;402;kuchen
Orangentäschchen aus Mürbeteig;355;kuchen
Haselnuss-Dreispitz aus Mürbeteig;435;organic-food
Käseknusperchen aus Mürbeteig;610;organic-food
Plätzchen aus Hefeteig energiereduziert;356;cookie
