name,phe,keyword
"Ausbackteig, süß roh",362,kuchen
Blätterteig roh,198,organic-food
Brandmasse roh,289,kirsche
Hefeteig roh,357,flour
Hefeteig leicht roh,373,bayerische-brezel
Hefeteig mittelschwer roh,357,bayerische-brezel
Hefeteig schwer roh,324,bayerische-brezel
Bierteig roh,382,bayerische-brezel
Pizzateig roh,281,flour
Biskuit eiweißarm glutenfrei natriumarm,13,organic-food
Diabetikerbackwaren,984,organic-food
Vollkornzwieback für Diabetiker,984,organic-food
Sacherboden,383,kuchen
Wienerboden,390,organic-food
Biskuit-Roulade,396,cookie
Schokobiskuit leicht,489,chocolate-bar-white
Schokobiskuit schwer,450,chocolate-bar-white
Schoko-Roulade,484,chocolate-bar-white
Kombinationsgebäck,309,organic-food
Zwiebelkuchen,309,onion
Obstkuchen aus Rührmasse,171,kuchen
Obstkuchen aus Rührmasse (ohne Flüssigkeit zubereitet),170,kuchen
Apfelkuchen aus Rührmasse,171,kuchen
Spiegeleierkuchen aus Rührmasse,145,organic-food
Obstkuchen aus Hefeteig energiereduziert,158,kuchen
Obstkuchen aus Hefeteig energiereduziert (mit Wasser zubereitet),140,kuchen
Apfelkuchen aus Hefeteig energiereduziert,158,kuchen
Blaubeerkuchen aus Hefeteig energiereduziert,263,organic-food
Obstkuchen aus Hefeteig fettreich,294,kuchen
Obstkuchen aus Quarkölteig,496,kuchen
Obstkuchen aus Mürbeteig fettreich,140,kuchen
Apfel-Streuselkuchen aus Mürbeteig fettreich,94,kuchen
"Apfel-Streuselkuchen aus Mürbeteig fettreich (mit Milch 3,5 % Fett zubereitet)",99,kuchen
"Apfel-Streuselkuchen aus Mürbeteig fettreich (mit Milch 1,5% Fett zubereitet)",98,kuchen
Apfel-Streuselkuchen aus Mürbeteig fettreich (mit Buttermilch zubereitet),100,kuchen
Obsttorten,85,kirsche
Quark-Apfel-Torte,352,kuchen
Obsttorten aus Rührmasse,151,kuchen
Obsttorte aus Rührmasse,151,kuchen
Obsttorte aus Sandmasse,123,kuchen
Obsttorten aus Mürbeteig fettreich,95,kuchen
Kirschtorte aus Mürbeteig fettreich,234,kirsche
Obsttörtchen aus Mürbeteig fettreich,95,kuchen
Mohn-Apfeltorte aus Mürbeteig fettreich,248,kuchen
Mohn-Apfeltorte aus Mürbeteig fettreich (ohne Flüssigkeit zubereitet),253,kuchen
Torten,228,kuchen
Cremetorte,285,dessert
Sachertorte,337,dessert
Käsesahnetorte,221,dessert
Nusssahnetorte,349,organic-food
Linzertorte,415,kuchen
Schwarzwälder Kirschtorte,228,kirsche
Marzipantorte,317,kuchen
"Sachertorte (mit Milch 1,5% Fett zubereitet)",302,organic-food
"Nusssahnetorte (mit Milch 1,5% Fett zubereitet)",273,organic-food
Französische Schokoladentorte,404,dessert
Makronentorte,475,kuchen
Baisertorte,153,dessert
Charlotte Torte (Mokka),289,kuchen
Holländer Kirschsahne-Torte/-Schnitten,129,kirsche
Flockensahne,176,flour
Herrentorte,289,kuchen
Torte aus Biskuitmasse,279,kuchen
Cremetorte aus Biskuitmasse,285,dessert
Käsetorte aus Biskuitmasse,221,organic-food
Käsesahnetorte aus Biskuitmasse,221,organic-food
Biskuitrolle,258,cookie
Buttercremetorte aus Biskuitmasse,285,kuchen
Aprikosen-Sahne-Torte aus Biskuitmasse,138,kuchen
Biskuitrollenbombe,154,organic-food
Zuger Kirschtorte aus Biskuitmasse,256,kirsche
Buchweizenmehl-Torte aus Biskuitmasse,220,flour
Karotten-Nuss-Torte aus Biskuitmasse,357,kuchen
Mokka-Sahne-Torte aus Biskuitmasse,251,kuchen
Trüffel-Torte aus Biskuitmasse,283,organic-food
Festliche Mokkacreme-Torte aus Biskuitmasse,292,dessert
Erdbeer-Sahne-Torte aus Biskuitmasse,212,kuchen
Schokoladen-Sahne-Torte aus Biskuitmasse,270,dessert
Zitronen-Sahne-Torte aus Biskuitmasse,212,kuchen
Zaubertorte aus Biskuitmasse,274,kuchen
Mokka-Buttercremetorte aus Biskuitmasse,324,kuchen
Schokoladen-Buttercremetorte aus Biskuitmasse,321,dessert
Biskuit-Obsttorte,191,kuchen
"Biskuit-Obsttorte (mit Milch 3,5 % Fett zubereitet)",189,kuchen
"Biskuit-Obsttorte (mit Milch 1,5% Fett zubereitet)",190,kuchen
Torte aus Wienermasse,273,kuchen
Cremetorte aus Wienermasse,273,dessert
Joghurt-Sahne Torte,227,dessert
Torte aus Rührmasse,443,kuchen
Cremetorte aus Rührmasse,273,kuchen
Käsetorte aus Rührmasse,443,organic-food
Schokoladentorte aus Rührmasse,273,dessert
Prinzregententorte,286,kuchen
Schokoladen-Nuss-Torte aus Rührmasse,452,organic-food
Schokoladen-Kirsch-Torte aus Rührmasse,222,kirsche
Torte aus Sandmasse,175,kuchen
Cremetorte aus Sandmasse,175,kuchen
Traubentorte aus Sandmasse,114,kuchen
Mandelsandtorte,417,dessert
Torte aus Mürbeteig fettreich,432,kuchen
Käsetorte aus Mürbeteig fettreich,432,organic-food
Tortenboden aus Mürbeteig fettreich,304,organic-food
Kuchen,290,kuchen
Nusskuchen,493,nuss
Englischer Teekuchen,214,kuchen
Muffins (englischer Teekuchen),337,muffin
Englischer Teekuchen (mit Buttermilch zubereitet),350,kuchen
Kartoffelkuchen,267,potato
Honigkuchen,213,organic-food
Rahmkuchen,347,kuchen
Kuchen aus Biskuitmasse,292,kuchen
Biskuitschnitte,292,cookie
Bismarck-Eiche aus Biskuitmasse,269,kuchen
Mandarinen-Omelettkuchen aus Biskuitmasse,185,kuchen
Rehrücken aus Biskuitmasse,385,beef
Früchtebrot,313,organic-food
Sandmasse roh,238,kirsche
Rührmasse roh,326,ingredients-for-cooking
Rührkuchen,326,kuchen
Kuchen aus Rührmasse,317,kuchen
Donau-Wellen aus Rührmasse (ohne Flüssigkeit zubereitet),214,bayerische-brezel
Nusskuchen aus Rührmasse,493,kuchen
Rosinenkuchen aus Rührmasse,279,kuchen
Nuss-Aprikosen-Kuchen aus Rührmasse,320,nuss
Marmorkuchen aus Rührmasse (mit Wasser zubereitet),302,kuchen
Marmorkuchen aus Rührmasse (ohne Fett zubereitet),389,kuchen
Marmorkuchen aus Rührmasse,394,kuchen
Mandelkuchen aus Rührmasse,493,kuchen
Makronenkuchen aus Rührmasse,447,kuchen
Donau-Wellen aus Rührmasse,193,organic-food
Schichtkuchen aus Rührmasse,280,kuchen
Rodon-Kuchen aus Rührmasse,278,kuchen
Apfelsinen-Kuchen aus Rührmasse,247,kuchen
Ananas-Marzipan-Kuchen aus Rührmasse,368,kuchen
Ottilienkuchen aus Rührmasse,424,kuchen
Marmorkuchen aus Rührmasse (ohne Flüssigkeit zubereitet),321,kuchen
Rehrücken aus Rührmasse,430,beef
Eiserkuchen aus Rührmasse,232,organic-food
Früchtebrot aus Rührmasse,313,organic-food
Quarkstollen aus Rührmasse,272,kuchen
Schokoladenkuchen aus Rührmasse (ohne Flüssigkeit zubereitet),396,kuchen
Schokoladenkuchen aus Rührmasse (ohne Fett zubereitet),428,kuchen
Quark-Napfkuchen aus Rührmasse,443,kuchen
Schokoladenkuchen aus Rührmasse,412,kuchen
Gewürzkuchen aus Rührmasse,346,kuchen
Kuchen aus Sandmasse,238,kuchen
Sandkuchen,238,kuchen
Napfkuchen aus Sandmasse,252,kuchen
Nusskuchen aus Sandmasse,435,kuchen
Englischer Kuchen aus Sandmasse,252,kuchen
Königskuchen aus Rührmasse,271,kuchen
Frankfurter Kranz aus Sandmasse (ohne Flüssigkeit zubereitet),292,bayerische-brezel
Frankfurter Kranz aus Sandmasse,175,kuchen
Wiener Sandtorte,229,dessert
Kuchen aus Hefeteig energiereduziert,376,kuchen
Hefezopf aus Hefeteig energiereduziert,376,bayerische-brezel
Hefezopf Dreierlei aus Hefeteig energiereduziert,406,bayerische-brezel
Anis-Zopf aus Hefeteig energiereduziert,359,bayerische-brezel
Mohnrolle aus Hefeteig energiereduziert,426,kirsche
"Mohnrolle aus Hefeteig energiereduziert (mit Milch 1,5% Fett zubereitet)",404,bayerische-brezel
Mohnrolle aus Hefeteig energiereduziert (mit Wasser zubereitet),384,kirsche
Mohnrolle aus Hefeteig energiereduziert (ohne Flüssigkeit zubereitet),451,bayerische-brezel
Mohnrolle aus Hefeteig ohne Fett,404,bayerische-brezel
Kuchen aus Hefeteig fettreich,290,kuchen
Bienenstich aus Hefeteig ohne Fett (mit Buttermilch zubereitet),331,bayerische-brezel
Bienenstich aus Hefeteig fettreich (mit Wasser zubereitet),244,organic-food
Bienenstich aus Hefeteig fettreich (mit Buttermilch zubereitet),307,organic-food
Käsekuchen aus Hefeteig fettreich,286,organic-food
Bienenstich aus Hefeteig fettreich,297,organic-food
Streuselkuchen aus Hefeteig fettreich,290,kuchen
Brioches ohne Füllung,360,organic-food
Butterkuchen aus Hefeteig fettreich,308,kuchen
Plattenkuchen aus Hefeteig fettreich,361,organic-food
Zuckerkuchen aus Hefeteig fettreich,335,kuchen
Hamburger Kaffeebrot aus Hefeteig fettreich,296,hamburger
Mandelbrot aus Hefeteig fettreich,370,organic-food
Mandelkuchen aus Hefeteig fettreich,414,kuchen
Rosenkuchen aus Hefeteig fettreich,292,kuchen
Dresdner Stollen aus Hefeteig fettreich,295,organic-food
Dresdner Stollen aus Hefeteig fettreich (mit Wasser zubereitet),275,organic-food
Mohnstollen aus Hefeteig fettreich,419,kuchen
Marzipanstollen aus Hefeteig fettreich,323,zimtschnecke
Marzipanstollen aus Hefeteig fettreich (ohne Flüssigkeit zubereitet),337,organic-food
Plunder-Kranz aus Hefeteig fettreich,343,bayerische-brezel
Nusskranz aus Hefeteig fettreich,310,nuss
Mandelkranz aus Hefeteig fettreich,375,kuchen
Bienenstichkranz aus Hefeteig fettreich,310,organic-food
Mohnkranz aus Hefeteig fettreich,361,croissant
Braunschweiger Hefekuchen aus Hefeteig fettreich,297,kuchen
Thüringer Obstkuchen aus Hefeteig fettreich,294,kuchen
Gedeckter Apfelblechkuchen aus Hefeteig fettreich,129,kuchen
Kuchen aus Quarkölteig,496,kuchen
Rosenkuchen aus Quarkölteig,385,kuchen
Mohn-Gitter-Torte aus Quarkölteig,436,kuchen
Gerollte Schnitte aus Quarkölteig,338,organic-food
Quark-Tasche aus Quarkölteig,496,organic-food
Schinken-Röllchen aus Quarkölteig,518,organic-food
Kuchen aus Mürbeteig,155,kuchen
Käsekuchen aus Mürbeteig,432,kuchen
Napfkuchen aus Mürbeteig,430,kuchen
Nusskuchen aus Mürbeteig,370,kuchen
Käsekuchen aus Mürbeteig (mit Wasser zubereitet),412,organic-food
Käsekuchen aus Mürbeteig (ohne Flüssigkeit zubereitet),469,organic-food
Käsekuchen aus Mürbeteig (mit Buttermilch zubereitet),436,organic-food
Zwetschgenkuchen aus Mürbeteig,155,kuchen
Mandeltorte (Mazarin-Torte) aus Mürbeteig,430,kuchen
Haselnuss-Kranz aus Mürbeteig,370,kuchen
Kuchen aus Blätterteig,416,kuchen
Französische Apfeltorte aus Blätterteig,107,kuchen
Kuchen eiweißarm glutenfrei natriumarm,21,organic-food
Teekuchen glutenfrei,264,organic-food
Kuchen/Torten aus Strudelteig,458,kuchen
Wiener Apfel-Strudel,102,apfel
Apfelstrudel,108,apfel
Kirschstrudel,146,kirsche
Quarkstrudel,458,dessert
"Kirschstrudel (mit Milch 3,5% Fett zubereitet)",163,kirsche
Plätzchen aus Baisermasse,478,cookie
Russisch-Brot aus Baisermasse,478,bayerische-brezel
Baiser,329,kuchen
Schokoladen-Baiser,427,chocolate-bar-white
Zimtsterne aus Baisermasse,678,sweets
Zuckerlis aus Baisermasse,695,sweets
Wespennester aus Baisermasse,592,kawaii-french-fries
Maiskeks glutenfrei,253,organic-food
Schokokeks glutenfrei,317,organic-food
Zitronenkeks glutenfrei,150,organic-food
Müslikeks glutenfrei,461,organic-food
Löffelbiskuit glutenfrei,425,organic-food
Haselnussgebäck glutenfrei,234,organic-food
Waffeln glutenfrei,157,organic-food
Gewürzgebäck glutenfrei,133,organic-food
Joghurtriegel glutenfrei,358,organic-food
Waffelmassenbackwaren,307,organic-food
Waffeln,307,organic-food
Eiswaffeln,322,eis-in-der-waffel
Waffelkeks,322,cookie
Sahnewaffel,307,organic-food
Sandwaffel,454,bayerische-brezel
Apfelwaffel,440,apfel
Gewürzwaffel,390,spice
Schinkenwaffel,704,organic-food
Käsewaffel,659,organic-food
Diabetikergebäck,627,organic-food
Eiswaffeln für Diabetiker,452,organic-food
Haferkeks für Diabetiker,627,organic-food
Waffeln eiweißarm glutenfrei,25,organic-food
Kleinteile aus Hartkeksteig,391,organic-food
Butterkeks,391,cookie
Feinbackwaren aus Strudelteig,537,organic-food
Lebkuchenteigbackwaren,524,organic-food
Dominosteine,320,kuchen
Weißer Lebkuchen,374,organic-food
Elisenlebkuchen,524,organic-food
Lebkuchen,554,organic-food
Schokoladen-Lebkuchen,607,chocolate-bar-white
Printen,438,bayerische-brezel
Nussprinten,438,organic-food
Schokoladen-Printen,377,organic-food
Back-Oblaten (50mmØ),365,organic-food
Pfeffernüsse,374,kawaii-ice-cream
Nürnberger Lebkuchen,352,organic-food
Liegnitzer,342,brezel
Feiner Honigkuchen,368,kuchen
Ostpreußischer Honigkuchen,315,kuchen
Dicker Honigkuchen,309,kuchen
Pfefferkuchen,351,organic-food
Sirupkuchen,309,kuchen
Kathrinchen (Honigteigplätzchen),296,organic-food
Honigkuchenplätzchen,295,cookie
Pflastersteine,264,bayerische-brezel
Honigkuchenhäufchen,287,organic-food
Ölsamenmassenbackwaren,303,bayerische-brezel
Makronen,652,macaron
Kokosmakronen,303,organic-food
Mandelmakronen,800,kirsche
Schokoladen-Kokosmakronen,407,organic-food
Schokoladen-Haselnussmakronen,550,organic-food
Marzipan-Monde,724,sweets
Baumkuchenmassenbackwaren,421,organic-food
Baumkuchen,421,kuchen
Plätzchen Kekse,309,kekse
Zedernbrot,485,organic-food
Raspeli,310,kirsche
Haferflockenplätzchen,405,cookie
Haferflocken-Nussgebäck,415,organic-food
Springerle,333,kuchen
Baklava,309,dessert
Aprikosen-Krapfen (mit Wasser zubereitet),145,aprikose
Aprikosen-Krapfen,149,aprikose
Apfelscheiben in Rumteig,133,kirsche
Bananen im Ausbackteig,212,bananen-split
Plätzchen aus Biskuitmasse,615,cookie
Schokoladen-Biskuitplätzchen,619,cookie
Löffelbiskuit aus Biskuitmasse,615,cookie
Biskuitplätzchen,569,cookie
Biskuitkapseln,615,cookie
Anisplätzchen aus Biskuitmasse,431,kuchen
Amerikanische Cookies,322,cookie
Orangenplätzchen aus Biskuitmasse,282,cookie
Plätzchen eiweißarm glutenfrei natriumarm,20,organic-food
Plätzchen aus Brandmasse,289,cookie
Flockentorte aus Brandmasse,189,kuchen
Preiselbeer-Kranz aus Brandmasse,242,kirsche
Käse-Windbeutel aus Brandmasse,402,organic-food
Fettgebackenes aus Brandmasse,401,organic-food
Eberswalder Spritzkuchen aus Brandmasse,284,kuchen
Plätzchen aus Mürbeteig,409,cookie
Spritzgebäck aus Rührteig,348,cookie
Spekulatius aus Mürbeteig,409,organic-food
Käsemürbeteigplätzchen,758,cookie
Teegebäck aus Mürbeteig,360,cookie
Fettgebackenes aus Mürbeteig,331,bayerische-brezel
Silvester-Rosen aus Mürbeteig,530,kuchen
Vanille-Mürbchen,263,kirsche
Aprikosen-Mandel-Schnitten aus Mürbeteig,326,aprikose
Nusstaler aus Mürbeteig,363,bayerische-brezel
Streuselplätzchen aus Mürbeteig,331,kuchen
Schoko-Eierlikör-Kränzchen aus Mürbeteig,277,organic-food
Erdnuss-Teilchen aus Mürbeteig,580,organic-food
Schwarz-Weiß-Gebäck aus Mürbeteig,329,organic-food
Nussecken aus Mürbeteig,379,kuchen
Dukatenplätzchen aus Mürbeteig,358,cookie
Mandelgebäck aus Mürbeteig,445,cookie
Buttergebäck aus Mürbeteig,309,cookie
Husarenkrapfen aus Mürbeteig,346,bayerische-brezel
Haselnusskugeln aus Mürbeteig,394,organic-food
Nussstangen aus Mürbeteig,348,nuss
Spitzbuben aus Mürbeteig,402,kuchen
Orangentäschchen aus Mürbeteig,355,kuchen
Haselnuss-Dreispitz aus Mürbeteig,435,organic-food
Käseknusperchen aus Mürbeteig,610,organic-food
Plätzchen aus Hefeteig energiereduziert,356,cookie
Berliner (Pfannkuchen) aus Hefeteig energiereduziert,406,pfannkuchen
Hörnchen aus Hefeteig energiereduziert,356,croissant
Kartoffelhörnchen aus Mürbeteig,275,potato
Nusshörnchen aus Hefeteig fettreich,345,nuss
Wiener Hörnchen aus Hefeteig fettreich,306,croissant
Butterhörnchen aus Hefeteig energiereduziert,353,croissant
Mohnhörnchen aus Hefeteig energiereduziert,423,kawaii-french-fries
Fettgebackenes aus Hefeteig energiereduziert,406,bayerische-brezel
Schoko-Donut,408,organic-food
Schnecken aus Hefeteig energiereduziert,375,zimtschnecke
Hefe-Boller aus Hefeteig fettreich,262,bayerische-brezel
Buchteln aus Hefeteig fettreich,315,organic-food
Berliner (Pfannkuchen) aus Hefeteig energiereduziert (mit Wasser zubereitet),376,pfannkuchen
Donut,391,doughnut
Marzipan-Krokant-Gebäck aus Hefeteig fettreich,454,kawaii-french-fries
Plätzchen aus Rührmasse,249,cookie
Amerikaner aus Rührmasse,249,organic-food
Streuselschnecke,290,kuchen
Haselnussberge aus Rührmasse,581,organic-food
Cremeschnitte aus Rührmasse,287,kuchen
Heidesand aus Rührmasse,210,bayerische-brezel
Marzipanstange aus Rührmasse,460,organic-food
Fettgebackenes aus Rührmasse,424,organic-food
Hobelspäne aus Rührmasse,391,ingredients-for-cooking
Schnecken aus Hefeteig,285,organic-food
Feine Nussplätzchen aus Rührmasse,507,organic-food
Kokosschnitte aus Rührmasse,362,organic-food
Haselnussschnitte aus Rührmasse,528,haselnuss
Vanillekipferl aus Rührmasse,388,zimtschnecke
Zitronenherz aus Rührmasse,549,organic-food
Mandelkranz aus Rührmasse,450,kuchen
Mandelhörnchen aus Rührmasse,422,kuchen
Plätzchen aus Sandmasse,210,cookie
Blätterteig Kleinteile,537,organic-food
Käsegebäck aus Blätterteig,537,organic-food
Schweinsohren aus Blätterteig,271,organic-food
Kaffeegebäck aus Blätterteig,382,cookie
Erdbeerschnitte aus Blätterteig,131,kirsche
Aprikosenteilchen aus Blätterteig,180,aprikose
Himbeer-Sahne in Pasteten aus Blätterteig,168,organic-food
Hörnchen aus Blätterteig,387,croissant
Croissant aus Blätterteig,353,croissant
Blätterteigbrötchen,432,bayerische-brezel
Croissant aus Plunderteig,322,croissant
Schinkenhörnchen aus Blätterteig,504,organic-food
Plätzchen aus Plunderteig,375,cookie
Plundergebäck,320,organic-food
Haselnuss-Plunderstreifen,329,organic-food
Marzipan-Plundergebäck,375,sweets
Schokoladen-Vollkornkeks,555,chocolate-bar-white
Apfelkeks aus Vollkornteig,320,cookie
Vollkornbackwaren,640,organic-food
Müslikeks aus Vollkornteig,407,bayerische-brezel
Backwarenerzeugnisse,276,organic-food
Butter-Mürbeteigboden,332,butter
Streusel roh,250,organic-food
Backmischung für Kuchen,348,ingredients-for-cooking
Backmischung für Streuselteig,348,ingredients-for-cooking
Backmischung für Nusskuchen,348,nuss
Backmischung für Zitronenkuchen,348,ingredients-for-cooking
Backmischung für Obstkuchen,348,ingredients-for-cooking
Nuss-Nougat-Törtchen aus Backmischung,187,nuss
Feigentörtchen aus Backmischung,160,kuchen
Waffeltörtchen aus Backmischung,251,cake
Pflaumen-Streuselkuchen aus Backmischung,101,kuchen
Apfelkuchen Hannover aus Backmischung,77,kuchen
Eier roh,635,eier
Eiweißpulver,4575,proteine
Wachtelei roh,635,eier
Hühnerei Vollei pochiert,635,eier
Hühnerei Eiweiß pochiert,635,eier
Hühnerei,635,eier
Hühnerei roh,635,eier
Hühnerei Vollei,635,eier
Hühnerei Vollei roh,800,eier
Hühnerei Vollei frittiert (zubereitet ohne Fett),672,eier
Hühnerei Vollei Pulver,2790,eier
Hühnerei Eiweiß,655,eier
Hühnerei Eiweiß roh,760,eier
Hühnerei Eiweiß Pulver,4575,proteine
Entenei,814,eier
Entenei roh,814,eier
Entenei Vollei roh,940,eier
Gänseei,812,eier
Gänseei roh,812,eier
Gänseei Vollei roh,812,eier
Putenei,803,kirsche
Putenei roh,803,kirsche
Putenei Vollei roh,803,eier
Teigwaren roh,600,organic-food
Teigwaren eifrei roh,604,organic-food
Teigwaren eifrei Schnitt-/Bandnudeln roh,604,nudeln
Teigwaren eifrei Spaghetti roh,604,nudeln
Teigwaren eifrei Makkaroni roh,604,organic-food
Teigwaren eifrei Suppennudeln roh,604,organic-food
Teigwaren eifrei Hörnchen roh,604,organic-food
Teigwaren eifrei Eiergräupchen roh,604,nudeln
Eierteigwaren roh,600,organic-food
Eierteigwaren Spaghetti roh,640,spaghetti
Eierteigwaren Makkaroni roh,600,nudeln
Eierteigwaren Schnitt-/Bandnudeln roh,600,nudeln
Eierteigwaren Suppennudeln roh,600,organic-food
Eierteigwaren Hörnchen roh,600,organic-food
Eierteigwaren Eiergräupchen roh,600,organic-food
Eierteigwaren Spätzle roh,444,organic-food
Eierteigwaren Spätzle Konserve,444,organic-food
Eierteigwaren Spätzle Konserve mikrowellenerwärmt,164,organic-food
Frischeiteigwaren roh,581,organic-food
Vegetarische Ravioli roh,424,organic-food
Vollkornteigwaren roh,622,organic-food
Vollkornteigwaren eifrei roh,622,organic-food
Vollkorneierteigwaren roh,578,organic-food
Vollkornfrischeiteigwaren roh,637,organic-food
Teigwaren besonderer Art roh,527,organic-food
Teigwaren eifrei aus Hartweizengrieß roh,604,nudeln
Schupfnudeln roh,243,nudeln
Semmelknödel roh,359,organic-food
Grießnockerln roh,279,organic-food
Böhmische Knödel roh,385,organic-food
Teigwaren besonderer Art eifrei roh,503,organic-food
Teigwaren glutenfrei,24,organic-food
Sojateigwaren roh,767,soy-sauce
Sojateigwaren Bandnudeln roh,767,organic-food
Eierteigwaren besonderer Art roh,527,organic-food
Eierteigwaren aus Weizen roh,600,organic-food
Frischeiteigwaren besonderer Art roh,584,organic-food
Vollkornteigwaren eifrei besonderer Art roh,603,organic-food
Vollkornteigwaren eifrei aus Weizen roh,622,organic-food
Nudelteig Nudelerzeugnis roh,718,nudeln
Spaghetti Bolognese energiereduziert,428,spaghetti
Suppennudeln Konserve,125,nudeln
Obst,11,organic-food
Obst roh,11,organic-food
Obst Pulpe,11,organic-food
Obst Fruchtsaft,10,organic-food
Obst Fruchtnektar,5,organic-food
Obst Konfitüre,4,kirsche
Mehrfruchtsaft,16,organic-food
Mehrfruchtnektar,8,organic-food
Apfel/Karotten Fruchtsaft,14,organic-food
Pfirsich/Maracuja Fruchtsaft,52,organic-food
Aprikose/Orange Fruchtnektar,13,aprikose
Aprikose/Orange Fruchtsaft,24,organic-food
Fruchtaufstrich,57,organic-food
Fruchtaufstrich Erdbeere,57,organic-food
Fruchtaufstrich Aprikose,57,aprikose
Obstgemüse roh,31,organic-food
Rhabarber,31,kirsche
Rhabarber roh,17,kirsche
Rhabarber Konzentrat,527,kirsche
Rhabarber Fruchtsaft,29,kirsche
Rhabarber Fruchtnektar,7,kirsche
Rhabarber Konfitüre,11,kirsche
Rhabarber Konserve,16,kirsche
Obstmischung,25,organic-food
Obstmischung roh,25,organic-food
Obstmischung Konzentrat,88,organic-food
Obstmischung Fruchtsaft,34,organic-food
Obstmischung Fruchtnektar,17,organic-food
Obstmischung Konfitüre,12,kirsche
Kernobst,11,organic-food
Kernobst roh,11,kirsche
Apfel,11,organic-food
Apfel roh,9,apfel
Apfel Konzentrat,56,apfel
Apfel Fruchtsaft (Ohne Zuckerzusatz),10,apfel
Apfel Fruchtnektar,5,apfel
Apfel Konfitüre,4,apfel
Apfel Fruchtsaft,2,apfel
Birne,18,organic-food
Birne roh,18,organic-food
Birne Konzentrat,98,birne
Birne Fruchtsaft,17,organic-food
Birne Fruchtnektar,9,organic-food
Birne Konfitüre,7,kirsche
Quitte,14,kirsche
Quitte roh,14,kirsche
Quitte Konzentrat,110,kirsche
Quitte Fruchtsaft,14,kirsche
Quitte Fruchtnektar,7,kirsche
Quitte Konfitüre,6,kirsche
Mispel,16,kirsche
Mispel roh,16,kirsche
Mispel Konzentrat,95,kirsche
Mispel Fruchtsaft,16,kirsche
Steinobst,23,organic-food
Steinobst roh,23,organic-food
Aprikose / Marille,37,organic-food
Aprikose roh,37,aprikose
Aprikose Konzentrat,228,aprikose
Aprikose Fruchtsaft,33,aprikose
Aprikose Fruchtnektar,13,aprikose
Aprikose Konfitüre,13,kirsche
Nektarine,28,kirsche
Nektarine roh,28,organic-food
Nektarine Konzentrat,141,kirsche
Nektarine Fruchtsaft,26,kirsche
Nektarine Fruchtnektar,12,kirsche
Nektarine Konfitüre,10,kirsche
Pfirsich,23,kirsche
Pfirsich roh,18,organic-food
Pfirsich Konzentrat,162,pfirsich
Pfirsich Fruchtsaft,22,pfirsich
Pfirsich Fruchtnektar,10,organic-food
Pfirsich Konfitüre,9,jam
Kirschen,18,kirsche
Kirschen roh,18,kirsche
Süßkirsche,18,kirsche
Süßkirsche roh,16,kirsche
Süßkirsche Konzentrat,84,kirsche
Süßkirsche Fruchtsaft,17,kirsche
Süßkirsche Fruchtnektar,7,kirsche
Sauerkirsche,18,kirsche
Sauerkirsche roh,18,kirsche
